Labels,32C_12_200K,
Type,Emission Scan,
Comment,,
Start,252.00,
Stop,750.00,
Step,0.150,
Fixed/Offset,248.400,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,Xe,
Temp,27.450,
Scan Polariser,None,
Scan Slit,0.2520,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.9970,
Detector,Red PMT,

252.00,4.39581719E+4,
252.1500,2.14959727E+4,
252.300,2.20806211E+4,
252.4500,1.81355313E+4,
252.600,2.13290254E+4,
252.7500,2.02247480E+4,
252.900,2.18265547E+4,
253.0500,1.88617090E+4,
253.200,1.93055449E+4,
253.3500,1.84186895E+4,
253.500,2.15244199E+4,
253.6500,1.99920273E+4,
253.800,1.82710020E+4,
253.9500,2.03856152E+4,
254.100,1.79984434E+4,
254.2500,1.88124629E+4,
254.400,1.85708359E+4,
254.5500,1.93470254E+4,
254.700,1.86769473E+4,
254.8500,1.90756738E+4,
255.00,1.87734180E+4,
255.1500,1.95290820E+4,
255.300,1.81325664E+4,
255.4500,2.02432305E+4,
255.600,1.96500527E+4,
255.7500,2.02124414E+4,
255.900,2.11908047E+4,
256.0500,2.25555469E+4,
256.200,2.07304473E+4,
256.3500,2.17424023E+4,
256.500,2.52185996E+4,
256.6500,2.31502695E+4,
256.800,2.54216973E+4,
256.9500,2.86715176E+4,
257.100,2.60803027E+4,
257.2500,2.82760410E+4,
257.400,3.03466582E+4,
257.5500,3.14683516E+4,
257.700,3.20427402E+4,
257.8500,3.50591094E+4,
258.00,3.49149258E+4,
258.1500,3.62593008E+4,
258.300,4.05780547E+4,
258.4500,4.22613359E+4,
258.600,4.44023945E+4,
258.7500,4.72087148E+4,
258.900,4.76310273E+4,
259.0500,5.33162227E+4,
259.200,5.21719102E+4,
259.3500,5.52385781E+4,
259.500,6.01666758E+4,
259.6500,5.92169258E+4,
259.800,6.34068828E+4,
259.9500,6.50760313E+4,
260.100,6.96897188E+4,
260.2500,6.99337500E+4,
260.400,7.65607891E+4,
260.5500,7.76580234E+4,
260.700,8.03898203E+4,
260.8500,8.75336094E+4,
261.00,8.55880469E+4,
261.1500,9.16989375E+4,
261.300,9.37262656E+4,
261.4500,9.71825625E+4,
261.600,9.97742813E+4,
261.7500,1.02466016E+5,
261.900,1.05287531E+5,
262.0500,1.05531664E+5,
262.200,1.14229953E+5,
262.3500,1.16772563E+5,
262.500,1.23865688E+5,
262.6500,1.20627344E+5,
262.800,1.26159414E+5,
262.9500,1.31267000E+5,
263.100,1.32511703E+5,
263.2500,1.32560031E+5,
263.400,1.38263641E+5,
263.5500,1.40241109E+5,
263.700,1.42923938E+5,
263.8500,1.46432188E+5,
264.00,1.54759047E+5,
264.1500,1.52226969E+5,
264.300,1.52451094E+5,
264.4500,1.62992813E+5,
264.600,1.62421531E+5,
264.7500,1.61964203E+5,
264.900,1.67099063E+5,
265.0500,1.72146688E+5,
265.200,1.68686359E+5,
265.3500,1.73146063E+5,
265.500,1.76534672E+5,
265.6500,1.80296672E+5,
265.800,1.83223688E+5,
265.9500,1.86055938E+5,
266.100,1.83720063E+5,
266.2500,1.87590984E+5,
266.400,1.95413281E+5,
266.5500,1.91741391E+5,
266.700,1.93543266E+5,
266.8500,1.96692922E+5,
267.00,1.97638875E+5,
267.1500,2.00493266E+5,
267.300,1.99055969E+5,
267.4500,1.99687984E+5,
267.600,2.05199328E+5,
267.7500,2.02272938E+5,
267.900,2.00195766E+5,
268.0500,2.08383422E+5,
268.200,2.11050266E+5,
268.3500,2.05244547E+5,
268.500,2.07544328E+5,
268.6500,2.04692656E+5,
268.800,2.08784000E+5,
268.9500,2.07621219E+5,
269.100,2.10552500E+5,
269.2500,2.08552875E+5,
269.400,2.14027203E+5,
269.5500,2.07926969E+5,
269.700,2.12346578E+5,
269.8500,2.10488938E+5,
270.00,2.08694625E+5,
270.1500,2.09744531E+5,
270.300,2.10958406E+5,
270.4500,2.15066156E+5,
270.600,2.14358844E+5,
270.7500,2.13180750E+5,
270.900,2.09183406E+5,
271.0500,2.16008828E+5,
271.200,2.11206234E+5,
271.3500,2.12908313E+5,
271.500,2.06222734E+5,
271.6500,2.16198125E+5,
271.800,2.09283719E+5,
271.9500,2.08501078E+5,
272.100,2.09077906E+5,
272.2500,2.13195672E+5,
272.400,2.08715578E+5,
272.5500,2.07996797E+5,
272.700,2.04539000E+5,
272.8500,2.05721578E+5,
273.00,2.04813391E+5,
273.1500,2.03861531E+5,
273.300,2.06618250E+5,
273.4500,2.05225953E+5,
273.600,2.00888484E+5,
273.7500,2.07697109E+5,
273.900,2.10251500E+5,
274.0500,2.09669094E+5,
274.200,2.07384578E+5,
274.3500,2.08460906E+5,
274.500,2.10504109E+5,
274.6500,2.08444891E+5,
274.800,2.09262375E+5,
274.9500,2.07380297E+5,
275.100,2.08821703E+5,
275.2500,2.10061500E+5,
275.400,2.08646453E+5,
275.5500,2.08538141E+5,
275.700,2.01987438E+5,
275.8500,2.06803172E+5,
276.00,2.05436609E+5,
276.1500,2.08805969E+5,
276.300,2.06182156E+5,
276.4500,2.09209906E+5,
276.600,2.13737906E+5,
276.7500,2.07613703E+5,
276.900,2.12533031E+5,
277.0500,2.09975188E+5,
277.200,2.12899844E+5,
277.3500,2.15632078E+5,
277.500,2.17077516E+5,
277.6500,2.11033453E+5,
277.800,2.16553781E+5,
277.9500,2.12928109E+5,
278.100,2.13144219E+5,
278.2500,2.16074453E+5,
278.400,2.10958797E+5,
278.5500,2.14855641E+5,
278.700,2.08265766E+5,
278.8500,2.10887266E+5,
279.00,2.13417781E+5,
279.1500,2.13084000E+5,
279.300,2.14663266E+5,
279.4500,2.11269688E+5,
279.600,2.09276734E+5,
279.7500,2.12069703E+5,
279.900,2.12698547E+5,
280.0500,2.12852969E+5,
280.200,2.15721188E+5,
280.3500,2.14612625E+5,
280.500,2.08378125E+5,
280.6500,2.07663531E+5,
280.800,2.07521203E+5,
280.9500,2.11980219E+5,
281.100,2.07239219E+5,
281.2500,2.07030094E+5,
281.400,2.08403531E+5,
281.5500,2.09576516E+5,
281.700,2.06018047E+5,
281.8500,2.09739266E+5,
282.00,2.04413578E+5,
282.1500,2.03936313E+5,
282.300,2.02530828E+5,
282.4500,2.01718828E+5,
282.600,2.02872828E+5,
282.7500,2.03586953E+5,
282.900,1.99714563E+5,
283.0500,1.98268719E+5,
283.200,1.99933094E+5,
283.3500,1.94131547E+5,
283.500,1.97453313E+5,
283.6500,1.94773797E+5,
283.800,1.90031313E+5,
283.9500,1.90575547E+5,
284.100,1.90826500E+5,
284.2500,1.88267859E+5,
284.400,1.91759703E+5,
284.5500,1.89079797E+5,
284.700,1.87313469E+5,
284.8500,1.89100203E+5,
285.00,1.87549438E+5,
285.1500,1.88854969E+5,
285.300,1.87773172E+5,
285.4500,1.86026688E+5,
285.600,1.81123141E+5,
285.7500,1.82561719E+5,
285.900,1.79713109E+5,
286.0500,1.75614844E+5,
286.200,1.75210500E+5,
286.3500,1.73045688E+5,
286.500,1.67282781E+5,
286.6500,1.69677438E+5,
286.800,1.66233234E+5,
286.9500,1.66163797E+5,
287.100,1.61738797E+5,
287.2500,1.62221516E+5,
287.400,1.59347469E+5,
287.5500,1.63260563E+5,
287.700,1.54753234E+5,
287.8500,1.55931734E+5,
288.00,1.55447359E+5,
288.1500,1.55457047E+5,
288.300,1.51411172E+5,
288.4500,1.50013891E+5,
288.600,1.48123141E+5,
288.7500,1.45810219E+5,
288.900,1.46355406E+5,
289.0500,1.41882203E+5,
289.200,1.41689016E+5,
289.3500,1.39300531E+5,
289.500,1.38588297E+5,
289.6500,1.39497438E+5,
289.800,1.34639438E+5,
289.9500,1.36014438E+5,
290.100,1.31184563E+5,
290.2500,1.32180609E+5,
290.400,1.33693469E+5,
290.5500,1.29524539E+5,
290.700,1.28029234E+5,
290.8500,1.27606000E+5,
291.00,1.25293656E+5,
291.1500,1.25337000E+5,
291.300,1.21858164E+5,
291.4500,1.24596289E+5,
291.600,1.23184023E+5,
291.7500,1.22891492E+5,
291.900,1.16905453E+5,
292.0500,1.16329633E+5,
292.200,1.17586477E+5,
292.3500,1.13195813E+5,
292.500,1.14303266E+5,
292.6500,1.14431203E+5,
292.800,1.11459625E+5,
292.9500,1.10731664E+5,
293.100,1.07923648E+5,
293.2500,1.08143344E+5,
293.400,1.06208547E+5,
293.5500,1.02061570E+5,
293.700,1.04903945E+5,
293.8500,1.02004984E+5,
294.00,1.00622031E+5,
294.1500,9.97289609E+4,
294.300,1.00346953E+5,
294.4500,1.00445891E+5,
294.600,9.93777891E+4,
294.7500,9.68937891E+4,
294.900,9.54961641E+4,
295.0500,9.55611328E+4,
295.200,9.61692344E+4,
295.3500,9.46818516E+4,
295.500,9.65968906E+4,
295.6500,9.59828438E+4,
295.800,9.35913281E+4,
295.9500,9.25188359E+4,
296.100,9.10106406E+4,
296.2500,8.96619688E+4,
296.400,8.92171953E+4,
296.5500,9.02543125E+4,
296.700,8.93724844E+4,
296.8500,8.82331641E+4,
297.00,8.75835938E+4,
297.1500,8.72358438E+4,
297.300,8.68169063E+4,
297.4500,8.90949766E+4,
297.600,8.95978594E+4,
297.7500,8.63054219E+4,
297.900,8.65975000E+4,
298.0500,8.69376953E+4,
298.200,8.62011250E+4,
298.3500,8.72009609E+4,
298.500,8.91046797E+4,
298.6500,8.68141094E+4,
298.800,8.78122344E+4,
298.9500,8.98738828E+4,
299.100,8.58278281E+4,
299.2500,8.62363438E+4,
299.400,8.78062031E+4,
299.5500,8.72995469E+4,
299.700,8.78682109E+4,
299.8500,8.64331953E+4,
300.00,8.65169063E+4,
300.1500,8.66160703E+4,
300.300,8.58700625E+4,
300.4500,8.78634609E+4,
300.600,8.54238516E+4,
300.7500,8.51989375E+4,
300.900,8.67988359E+4,
301.0500,8.68745859E+4,
301.200,8.74502109E+4,
301.3500,8.82937109E+4,
301.500,8.75837969E+4,
301.6500,8.96459688E+4,
301.800,8.71491016E+4,
301.9500,8.68413047E+4,
302.100,8.85993047E+4,
302.2500,9.04856484E+4,
302.400,8.83358047E+4,
302.5500,8.96475703E+4,
302.700,9.10485781E+4,
302.8500,9.29292891E+4,
303.00,9.10109375E+4,
303.1500,9.04100703E+4,
303.300,9.04839219E+4,
303.4500,9.30717344E+4,
303.600,8.87186406E+4,
303.7500,9.05545156E+4,
303.900,9.15755781E+4,
304.0500,9.21267813E+4,
304.200,8.94000156E+4,
304.3500,9.19816328E+4,
304.500,9.01835703E+4,
304.6500,9.19449766E+4,
304.800,9.10299766E+4,
304.9500,9.13553906E+4,
305.100,9.11372734E+4,
305.2500,9.11480859E+4,
305.400,9.14280000E+4,
305.5500,9.33800469E+4,
305.700,9.32388672E+4,
305.8500,9.35129688E+4,
306.00,9.19908906E+4,
306.1500,9.15756953E+4,
306.300,9.31509766E+4,
306.4500,9.30652500E+4,
306.600,9.24303047E+4,
306.7500,9.48566953E+4,
306.900,9.49456172E+4,
307.0500,9.26305547E+4,
307.200,9.28669766E+4,
307.3500,9.25999453E+4,
307.500,9.19421953E+4,
307.6500,9.15461875E+4,
307.800,9.44219297E+4,
307.9500,9.48109219E+4,
308.100,9.38109609E+4,
308.2500,9.38298359E+4,
308.400,9.10918047E+4,
308.5500,9.28741563E+4,
308.700,9.35181094E+4,
308.8500,9.20835703E+4,
309.00,9.24722969E+4,
309.1500,9.21367969E+4,
309.300,9.35076797E+4,
309.4500,9.21470234E+4,
309.600,9.05201953E+4,
309.7500,9.14677891E+4,
309.900,9.05013672E+4,
310.0500,8.94917266E+4,
310.200,9.09909531E+4,
310.3500,8.96818281E+4,
310.500,9.43360625E+4,
310.6500,9.09093203E+4,
310.800,9.06508750E+4,
310.9500,9.14080859E+4,
311.100,9.03090781E+4,
311.2500,8.84001016E+4,
311.400,9.10826406E+4,
311.5500,9.01351875E+4,
311.700,8.98237188E+4,
311.8500,9.00178750E+4,
312.00,8.91049219E+4,
312.1500,8.78395859E+4,
312.300,8.74478828E+4,
312.4500,8.77783203E+4,
312.600,8.77714688E+4,
312.7500,8.58752422E+4,
312.900,8.76215781E+4,
313.0500,8.54703203E+4,
313.200,8.51864531E+4,
313.3500,8.83205234E+4,
313.500,8.66616016E+4,
313.6500,8.56436875E+4,
313.800,8.59473125E+4,
313.9500,8.68082578E+4,
314.100,8.60836641E+4,
314.2500,8.57409297E+4,
314.400,8.63286563E+4,
314.5500,8.56695469E+4,
314.700,8.49298203E+4,
314.8500,8.38343828E+4,
315.00,8.48180547E+4,
315.1500,8.47730469E+4,
315.300,8.60197578E+4,
315.4500,8.37814766E+4,
315.600,8.32094453E+4,
315.7500,8.33966250E+4,
315.900,8.21209844E+4,
316.0500,8.33918516E+4,
316.200,8.00711484E+4,
316.3500,8.01694063E+4,
316.500,8.21207422E+4,
316.6500,8.19899453E+4,
316.800,8.08981797E+4,
316.9500,7.97462266E+4,
317.100,8.06728828E+4,
317.2500,8.09788359E+4,
317.400,7.96410313E+4,
317.5500,8.05273906E+4,
317.700,7.98906875E+4,
317.8500,7.79861328E+4,
318.00,7.99515703E+4,
318.1500,7.88944453E+4,
318.300,7.96481094E+4,
318.4500,7.93737109E+4,
318.600,7.95866172E+4,
318.7500,7.92785391E+4,
318.900,7.76201953E+4,
319.0500,7.74711953E+4,
319.200,7.88257031E+4,
319.3500,7.87601016E+4,
319.500,7.80559453E+4,
319.6500,7.65205859E+4,
319.800,7.63258828E+4,
319.9500,7.67812422E+4,
320.100,7.66338047E+4,
320.2500,7.64564375E+4,
320.400,7.80667422E+4,
320.5500,7.56718359E+4,
320.700,7.60217734E+4,
320.8500,7.51820938E+4,
321.00,7.51357813E+4,
321.1500,7.42207344E+4,
321.300,7.27824375E+4,
321.4500,7.36758594E+4,
321.600,7.10454531E+4,
321.7500,7.26924063E+4,
321.900,7.35937188E+4,
322.0500,7.02718672E+4,
322.200,7.04720625E+4,
322.3500,7.09760859E+4,
322.500,7.03393828E+4,
322.6500,6.95694609E+4,
322.800,7.05089922E+4,
322.9500,7.18767344E+4,
323.100,6.83619219E+4,
323.2500,6.91351250E+4,
323.400,7.10805234E+4,
323.5500,7.09131172E+4,
323.700,7.00152734E+4,
323.8500,6.76751641E+4,
324.00,6.77659766E+4,
324.1500,6.92322109E+4,
324.300,6.78466172E+4,
324.4500,6.59934531E+4,
324.600,6.67860156E+4,
324.7500,6.49355586E+4,
324.900,6.63735469E+4,
325.0500,6.46530859E+4,
325.200,6.37611836E+4,
325.3500,6.30835391E+4,
325.500,6.20801250E+4,
325.6500,6.11037461E+4,
325.800,6.30777344E+4,
325.9500,6.22240352E+4,
326.100,6.18368203E+4,
326.2500,6.05281992E+4,
326.400,6.06454961E+4,
326.5500,5.95812539E+4,
326.700,5.99469023E+4,
326.8500,5.98688789E+4,
327.00,5.98617969E+4,
327.1500,5.91349258E+4,
327.300,5.85966875E+4,
327.4500,5.76630273E+4,
327.600,5.63920469E+4,
327.7500,5.72518906E+4,
327.900,5.66209258E+4,
328.0500,5.49303086E+4,
328.200,5.45697344E+4,
328.3500,5.52702852E+4,
328.500,5.44010430E+4,
328.6500,5.34325508E+4,
328.800,5.39990352E+4,
328.9500,5.34020195E+4,
329.100,5.46861953E+4,
329.2500,5.13992891E+4,
329.400,5.17324141E+4,
329.5500,5.25697852E+4,
329.700,5.16116641E+4,
329.8500,4.97137695E+4,
330.00,4.97518281E+4,
330.1500,4.95579727E+4,
330.300,4.89670195E+4,
330.4500,4.97255000E+4,
330.600,4.83970234E+4,
330.7500,4.82092852E+4,
330.900,4.68517188E+4,
331.0500,4.68639453E+4,
331.200,4.64507852E+4,
331.3500,4.59856094E+4,
331.500,4.57125234E+4,
331.6500,4.50836484E+4,
331.800,4.56122305E+4,
331.9500,4.49744805E+4,
332.100,4.39831016E+4,
332.2500,4.41901719E+4,
332.400,4.28838281E+4,
332.5500,4.32768320E+4,
332.700,4.23595820E+4,
332.8500,4.17099023E+4,
333.00,4.11247188E+4,
333.1500,4.06249375E+4,
333.300,3.92875352E+4,
333.4500,3.89374883E+4,
333.600,3.90134648E+4,
333.7500,3.80333711E+4,
333.900,3.87886797E+4,
334.0500,3.86028008E+4,
334.200,3.75081680E+4,
334.3500,3.69721328E+4,
334.500,3.57843555E+4,
334.6500,3.68440273E+4,
334.800,3.56703164E+4,
334.9500,3.61442422E+4,
335.100,3.64420625E+4,
335.2500,3.44025391E+4,
335.400,3.49671992E+4,
335.5500,3.38492383E+4,
335.700,3.41425430E+4,
335.8500,3.38785859E+4,
336.00,3.34908008E+4,
336.1500,3.33001641E+4,
336.300,3.21539004E+4,
336.4500,3.14967539E+4,
