Labels,32C_22_475K,
Type,Emission Scan,
Comment,,
Start,450.00,
Stop,750.1500,
Step,0.150,
Fixed/Offset,248.400,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,Xe,
Temp,28.450,
Scan Polariser,None,
Scan Slit,0.2520,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.9970,
Detector,Red PMT,

450.00,1.48662756E+3,
450.1500,1.61571985E+3,
450.300,1.57493811E+3,
450.4500,1.28540796E+3,
450.600,1.14223840E+3,
450.7500,1.08126355E+3,
450.900,1.12578931E+3,
451.0500,1.03871484E+3,
451.200,1.06262524E+3,
451.3500,1.01982190E+3,
451.500,1.05644287E+3,
451.6500,1.12961072E+3,
451.800,1.07408984E+3,
451.9500,1.17905017E+3,
452.100,1.35469214E+3,
452.2500,1.31097241E+3,
452.400,1.32892188E+3,
452.5500,1.36239197E+3,
452.700,1.36134277E+3,
452.8500,1.18040552E+3,
453.00,1.08131567E+3,
453.1500,1.21556775E+3,
453.300,1.09499255E+3,
453.4500,1.07296216E+3,
453.600,1.14311670E+3,
453.7500,1.16305127E+3,
453.900,1.18427039E+3,
454.0500,1.10282104E+3,
454.200,1.13324170E+3,
454.3500,1.09622949E+3,
454.500,1.11188684E+3,
454.6500,1.15900879E+3,
454.800,1.10412793E+3,
454.9500,1.07980847E+3,
455.100,1.08215271E+3,
455.2500,1.17520630E+3,
455.400,1.20448181E+3,
455.5500,1.12164563E+3,
455.700,1.16193237E+3,
455.8500,1.10100964E+3,
456.00,1.04364551E+3,
456.1500,1.06469995E+3,
456.300,1.13351599E+3,
456.4500,1.14846350E+3,
456.600,1.17246899E+3,
456.7500,1.21581226E+3,
456.900,1.27682275E+3,
457.0500,1.22745728E+3,
457.200,1.28405481E+3,
457.3500,1.24948499E+3,
457.500,1.23564966E+3,
457.6500,1.22075891E+3,
457.800,1.18228601E+3,
457.9500,1.29869421E+3,
458.100,1.29148352E+3,
458.2500,1.28574072E+3,
458.400,1.24824756E+3,
458.5500,1.30013806E+3,
458.700,1.25697266E+3,
458.8500,1.18896948E+3,
459.00,1.20807446E+3,
459.1500,1.15440894E+3,
459.300,1.16544800E+3,
459.4500,1.12438684E+3,
459.600,1.18965112E+3,
459.7500,1.15126672E+3,
459.900,1.16106396E+3,
460.0500,1.11867041E+3,
460.200,1.22936523E+3,
460.3500,1.12860339E+3,
460.500,1.16848596E+3,
460.6500,1.25596973E+3,
460.800,1.18711829E+3,
460.9500,1.21841626E+3,
461.100,1.20253821E+3,
461.2500,1.29703821E+3,
461.400,1.32039197E+3,
461.5500,1.41050696E+3,
461.700,1.24556702E+3,
461.8500,1.38961938E+3,
462.00,1.49077173E+3,
462.1500,1.49522778E+3,
462.300,1.56879578E+3,
462.4500,1.67259204E+3,
462.600,1.62638354E+3,
462.7500,1.58372388E+3,
462.900,1.50010938E+3,
463.0500,1.56749084E+3,
463.200,1.55392603E+3,
463.3500,1.40265894E+3,
463.500,1.36382739E+3,
463.6500,1.36912329E+3,
463.800,1.32097351E+3,
463.9500,1.27733203E+3,
464.100,1.21705298E+3,
464.2500,1.26222620E+3,
464.400,1.19281323E+3,
464.5500,1.17656165E+3,
464.700,1.20258594E+3,
464.8500,1.24220129E+3,
465.00,1.19867322E+3,
465.1500,1.08853577E+3,
465.300,1.05940344E+3,
465.4500,1.18713403E+3,
465.600,1.23827832E+3,
465.7500,1.23302100E+3,
465.900,1.23195129E+3,
466.0500,1.27563501E+3,
466.200,1.25204773E+3,
466.3500,1.33721143E+3,
466.500,1.34876343E+3,
466.6500,1.57393542E+3,
466.800,1.76138672E+3,
466.9500,2.03787366E+3,
467.100,2.14732837E+3,
467.2500,2.36032983E+3,
467.400,2.38312500E+3,
467.5500,2.15597168E+3,
467.700,2.07566089E+3,
467.8500,2.01190222E+3,
468.00,1.93095557E+3,
468.1500,1.67514954E+3,
468.300,1.69589014E+3,
468.4500,1.46729956E+3,
468.600,1.50041931E+3,
468.7500,1.47356372E+3,
468.900,1.43459375E+3,
469.0500,1.38970947E+3,
469.200,1.40280957E+3,
469.3500,1.38856946E+3,
469.500,1.39357117E+3,
469.6500,1.35410754E+3,
469.800,1.40962683E+3,
469.9500,1.41461694E+3,
470.100,1.45403760E+3,
470.2500,1.37759802E+3,
470.400,1.37779700E+3,
470.5500,1.21392834E+3,
470.700,1.27358313E+3,
470.8500,1.20950757E+3,
471.00,1.27312305E+3,
471.1500,1.24149072E+3,
471.300,1.25707617E+3,
471.4500,1.17128113E+3,
471.600,1.20895825E+3,
471.7500,1.15935632E+3,
471.900,1.19200134E+3,
472.0500,1.22869727E+3,
472.200,1.22041479E+3,
472.3500,1.16004541E+3,
472.500,1.16780859E+3,
472.6500,1.31075049E+3,
472.800,1.26742358E+3,
472.9500,1.45732886E+3,
473.100,1.59121765E+3,
473.2500,1.77315405E+3,
473.400,1.87500684E+3,
473.5500,1.90580762E+3,
473.700,1.63350806E+3,
473.8500,1.44928857E+3,
474.00,1.33311646E+3,
474.1500,1.34209949E+3,
474.300,1.21307397E+3,
474.4500,1.26406030E+3,
474.600,1.28104431E+3,
474.7500,1.30902832E+3,
474.900,1.22401062E+3,
475.0500,1.25503235E+3,
475.200,1.21312500E+3,
475.3500,1.26922827E+3,
475.500,1.22231348E+3,
475.6500,1.27042249E+3,
475.800,1.27852209E+3,
475.9500,1.24560242E+3,
476.100,1.31979346E+3,
476.2500,1.30696606E+3,
476.400,1.34017493E+3,
476.5500,1.34236047E+3,
476.700,1.31050659E+3,
476.8500,1.34372693E+3,
477.00,1.33189111E+3,
477.1500,1.34420508E+3,
477.300,1.37455652E+3,
477.4500,1.38287402E+3,
477.600,1.35210376E+3,
477.7500,1.31530371E+3,
477.900,1.44393762E+3,
478.0500,1.35303259E+3,
478.200,1.39261096E+3,
478.3500,1.43723120E+3,
478.500,1.47786292E+3,
478.6500,1.39097119E+3,
478.800,1.39343347E+3,
478.9500,1.38484045E+3,
479.100,1.46782446E+3,
479.2500,1.47549072E+3,
479.400,1.44693677E+3,
479.5500,1.45157483E+3,
479.700,1.51361670E+3,
479.8500,1.55253528E+3,
480.00,1.57838037E+3,
480.1500,1.52867273E+3,
480.300,1.63528345E+3,
480.4500,1.71069861E+3,
480.600,1.82050745E+3,
480.7500,1.77181506E+3,
480.900,1.90599475E+3,
481.0500,1.93715076E+3,
481.200,1.84187341E+3,
481.3500,1.87097412E+3,
481.500,1.79785278E+3,
481.6500,1.82695215E+3,
481.800,1.74260022E+3,
481.9500,1.81122278E+3,
482.100,1.85562036E+3,
482.2500,1.87776428E+3,
482.400,1.83192444E+3,
482.5500,1.85000842E+3,
482.700,1.87115210E+3,
482.8500,1.84149670E+3,
483.00,1.95822009E+3,
483.1500,2.02541541E+3,
483.300,1.85246912E+3,
483.4500,1.92476245E+3,
483.600,1.73220374E+3,
483.7500,1.83202686E+3,
483.900,1.74018555E+3,
484.0500,1.70952380E+3,
484.200,1.81065564E+3,
484.3500,1.76067017E+3,
484.500,1.78423767E+3,
484.6500,1.79759766E+3,
484.800,1.73930786E+3,
484.9500,1.82127795E+3,
485.100,1.76608704E+3,
485.2500,1.68316895E+3,
485.400,1.74280127E+3,
485.5500,1.68028699E+3,
485.700,1.60637891E+3,
485.8500,1.59407361E+3,
486.00,1.75463794E+3,
486.1500,1.64153284E+3,
486.300,1.64986914E+3,
486.4500,1.74483521E+3,
486.600,1.79864722E+3,
486.7500,1.71208997E+3,
486.900,1.81760754E+3,
487.0500,1.75364368E+3,
487.200,1.78573364E+3,
487.3500,1.84787781E+3,
487.500,1.94945349E+3,
487.6500,2.08741992E+3,
487.800,2.07309497E+3,
487.9500,2.30052661E+3,
488.100,2.33192383E+3,
488.2500,2.61471533E+3,
488.400,2.50595923E+3,
488.5500,2.80265845E+3,
488.700,2.71988647E+3,
488.8500,2.77547998E+3,
489.00,2.83841748E+3,
489.1500,2.69012354E+3,
489.300,2.68764600E+3,
489.4500,2.58601685E+3,
489.600,2.65759644E+3,
489.7500,2.69268652E+3,
489.900,2.79577319E+3,
490.0500,2.76416602E+3,
490.200,2.86053442E+3,
490.3500,3.05239502E+3,
490.500,3.29172852E+3,
490.6500,3.50203271E+3,
490.800,3.42592627E+3,
490.9500,3.58617896E+3,
491.100,3.66378613E+3,
491.2500,3.99534009E+3,
491.400,4.11880908E+3,
491.5500,4.19185156E+3,
491.700,4.28610889E+3,
491.8500,4.32452148E+3,
492.00,4.29532275E+3,
492.1500,4.41949463E+3,
492.300,4.34689502E+3,
492.4500,4.31549268E+3,
492.600,4.14825684E+3,
492.7500,4.09113135E+3,
492.900,3.88410107E+3,
493.0500,3.65436450E+3,
493.200,3.65190723E+3,
493.3500,3.47159302E+3,
493.500,3.51798657E+3,
493.6500,3.26367065E+3,
493.800,3.28113257E+3,
493.9500,3.19179053E+3,
494.100,3.25194751E+3,
494.2500,3.07895508E+3,
494.400,2.97099951E+3,
494.5500,2.91644336E+3,
494.700,2.93899756E+3,
494.8500,2.93152954E+3,
495.00,3.00780005E+3,
495.1500,2.89515942E+3,
495.300,2.78340894E+3,
495.4500,2.91903394E+3,
495.600,2.82218896E+3,
495.7500,2.77369531E+3,
495.900,2.74885132E+3,
496.0500,2.86116577E+3,
496.200,2.73934399E+3,
496.3500,2.80116235E+3,
496.500,2.71802759E+3,
496.6500,2.64340845E+3,
496.800,2.70310376E+3,
496.9500,2.66522388E+3,
497.100,2.57743604E+3,
497.2500,2.64826636E+3,
497.400,2.51247144E+3,
497.5500,2.53651904E+3,
497.700,2.51481812E+3,
497.8500,2.50070435E+3,
498.00,2.52805298E+3,
498.1500,2.51614600E+3,
498.300,2.52608691E+3,
498.4500,2.47690747E+3,
498.600,2.42324365E+3,
498.7500,2.46052344E+3,
498.900,2.47809692E+3,
499.0500,2.43306445E+3,
499.200,2.45616260E+3,
499.3500,2.42094214E+3,
499.500,2.39666846E+3,
499.6500,2.30175586E+3,
499.800,2.41198730E+3,
499.9500,2.29811938E+3,
500.100,2.16194751E+3,
500.2500,2.20152441E+3,
500.400,2.09603638E+3,
500.5500,2.03137769E+3,
500.700,2.14083887E+3,
500.8500,2.01388416E+3,
501.00,2.08348291E+3,
501.1500,2.00630103E+3,
501.300,1.91895300E+3,
501.4500,1.85374048E+3,
501.600,1.87542834E+3,
501.7500,1.81228357E+3,
501.900,1.85854639E+3,
502.0500,1.73934131E+3,
502.200,1.68374365E+3,
502.3500,1.76474133E+3,
502.500,1.69335706E+3,
502.6500,1.66561755E+3,
502.800,1.63333154E+3,
502.9500,1.60885571E+3,
503.100,1.60689124E+3,
503.2500,1.61620691E+3,
503.400,1.56691492E+3,
503.5500,1.47239856E+3,
503.700,1.54484180E+3,
503.8500,1.58688965E+3,
504.00,1.49099243E+3,
504.1500,1.53764307E+3,
504.300,1.63197229E+3,
504.4500,1.54837524E+3,
504.600,1.56680359E+3,
504.7500,1.64662390E+3,
504.900,1.64582568E+3,
505.0500,1.55395166E+3,
505.200,1.65790344E+3,
505.3500,1.62631897E+3,
505.500,1.70996313E+3,
505.6500,1.66921594E+3,
505.800,1.78391052E+3,
505.9500,1.75573425E+3,
506.100,1.85013586E+3,
506.2500,1.90804175E+3,
506.400,1.92817236E+3,
506.5500,2.02874792E+3,
506.700,2.18009497E+3,
506.8500,2.28452417E+3,
507.00,2.40526318E+3,
507.1500,2.42726318E+3,
507.300,2.57280029E+3,
507.4500,2.74172437E+3,
507.600,2.91444019E+3,
507.7500,2.84090283E+3,
507.900,2.86686548E+3,
508.0500,2.96251758E+3,
508.200,2.90751270E+3,
508.3500,2.90584814E+3,
508.500,2.75407300E+3,
508.6500,2.66487012E+3,
508.800,2.67340967E+3,
508.9500,2.35400635E+3,
509.100,2.37270581E+3,
509.2500,2.23822363E+3,
509.400,2.19594043E+3,
509.5500,2.10669824E+3,
509.700,2.04776721E+3,
509.8500,1.97110254E+3,
510.00,2.00944263E+3,
510.1500,1.88542725E+3,
510.300,1.84358679E+3,
510.4500,1.85351013E+3,
510.600,1.78914221E+3,
510.7500,1.83443372E+3,
510.900,1.84435437E+3,
511.0500,1.80817468E+3,
511.200,1.86071497E+3,
511.3500,1.77946826E+3,
511.500,1.77751685E+3,
511.6500,1.67823193E+3,
511.800,1.60608508E+3,
511.9500,1.49218909E+3,
512.100,1.44003125E+3,
512.2500,1.33538806E+3,
512.400,1.41297449E+3,
512.5500,1.22574158E+3,
512.700,1.26035352E+3,
512.8500,1.20175488E+3,
513.00,1.17057080E+3,
513.1500,1.20769714E+3,
513.300,1.15974072E+3,
513.4500,1.21612976E+3,
513.600,1.08756030E+3,
513.7500,1.11029895E+3,
513.900,1.01627838E+3,
514.0500,1.16676355E+3,
514.200,1.02197662E+3,
514.3500,8.99833374E+2,
514.500,9.78141479E+2,
514.6500,9.74305420E+2,
514.800,9.69244812E+2,
514.9500,8.98680176E+2,
515.100,9.53011475E+2,
515.2500,9.28458313E+2,
515.400,9.56160767E+2,
515.5500,8.53618713E+2,
515.700,8.95921387E+2,
515.8500,8.85837708E+2,
516.00,8.72066895E+2,
516.1500,8.90060486E+2,
516.300,8.68923218E+2,
516.4500,9.26144653E+2,
516.600,9.19709229E+2,
516.7500,8.72751099E+2,
516.900,8.84674194E+2,
517.0500,8.49890869E+2,
517.200,8.27369141E+2,
517.3500,8.62722778E+2,
517.500,8.36460083E+2,
517.6500,8.24960083E+2,
517.800,8.10960449E+2,
517.9500,7.90742615E+2,
518.100,7.72972656E+2,
518.2500,7.34091309E+2,
518.400,8.30427612E+2,
518.5500,8.10156738E+2,
518.700,7.91085388E+2,
518.8500,7.64500427E+2,
519.00,7.71511292E+2,
519.1500,8.08514282E+2,
519.300,7.64405090E+2,
519.4500,7.63961975E+2,
519.600,7.64765808E+2,
519.7500,8.06917236E+2,
519.900,7.27487610E+2,
520.0500,7.62158691E+2,
520.200,7.70526978E+2,
520.3500,7.90234497E+2,
520.500,7.70931580E+2,
520.6500,7.65455078E+2,
520.800,7.25878479E+2,
520.9500,7.48138306E+2,
521.100,7.26157593E+2,
521.2500,7.62380249E+2,
521.400,7.79659790E+2,
521.5500,7.72859253E+2,
521.700,7.64771912E+2,
521.8500,7.36316589E+2,
522.00,7.54901855E+2,
522.1500,7.68426086E+2,
522.300,7.29672913E+2,
522.4500,7.40639343E+2,
522.600,7.41398376E+2,
522.7500,7.48554626E+2,
522.900,7.65969604E+2,
523.0500,7.21885437E+2,
523.200,7.35495422E+2,
523.3500,8.09523987E+2,
523.500,8.07814758E+2,
523.6500,7.35275146E+2,
523.800,7.28319885E+2,
523.9500,7.49737061E+2,
524.100,7.58288696E+2,
524.2500,7.52636597E+2,
524.400,7.32728760E+2,
524.5500,8.55329773E+2,
524.700,7.69318787E+2,
524.8500,7.88316467E+2,
525.00,8.50255005E+2,
525.1500,7.92561340E+2,
525.300,8.58506531E+2,
525.4500,8.04609253E+2,
525.600,8.83748352E+2,
525.7500,8.51975098E+2,
525.900,8.58066833E+2,
526.0500,8.96913330E+2,
526.200,8.99162292E+2,
526.3500,8.75169556E+2,
526.500,9.20737915E+2,
526.6500,9.07230103E+2,
526.800,9.71344849E+2,
526.9500,9.53901428E+2,
527.100,9.18021118E+2,
527.2500,9.44154724E+2,
527.400,9.25395813E+2,
527.5500,9.35706360E+2,
527.700,9.77836731E+2,
527.8500,9.76283264E+2,
528.00,9.09653259E+2,
528.1500,9.73198181E+2,
528.300,1.02756812E+3,
528.4500,1.10871240E+3,
528.600,1.05929407E+3,
528.7500,1.03380029E+3,
528.900,1.04835925E+3,
529.0500,1.10042139E+3,
529.200,1.07484741E+3,
529.3500,1.11897913E+3,
529.500,1.16857837E+3,
529.6500,1.08650415E+3,
529.800,1.12270532E+3,
529.9500,1.15089722E+3,
530.100,1.13056372E+3,
530.2500,1.20336646E+3,
530.400,1.12489331E+3,
530.5500,1.26821765E+3,
530.700,1.21808997E+3,
530.8500,1.23973718E+3,
531.00,1.26278503E+3,
531.1500,1.23289001E+3,
531.300,1.29953906E+3,
531.4500,1.32273682E+3,
531.600,1.28188342E+3,
531.7500,1.28735425E+3,
531.900,1.27779883E+3,
532.0500,1.36811145E+3,
532.200,1.32855151E+3,
532.3500,1.36019702E+3,
532.500,1.40151807E+3,
532.6500,1.38658191E+3,
532.800,1.33858838E+3,
532.9500,1.27120313E+3,
533.100,1.35536951E+3,
533.2500,1.32655273E+3,
533.400,1.27002527E+3,
533.5500,1.28530640E+3,
533.700,1.28815186E+3,
533.8500,1.35062476E+3,
534.00,1.26469238E+3,
534.1500,1.33423950E+3,
534.300,1.27175415E+3,
534.4500,1.31499036E+3,
