Labels,32C_27_600K,
Type,Emission Scan,
Comment,,
Start,450.00,
Stop,750.1500,
Step,0.150,
Fixed/Offset,248.400,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,Xe,
Temp,28.40,
Scan Polariser,None,
Scan Slit,0.2520,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.9970,
Detector,Red PMT,

450.00,1.54362781E+3,
450.1500,1.70857739E+3,
450.300,1.47232617E+3,
450.4500,1.27916052E+3,
450.600,1.14537634E+3,
450.7500,1.03397791E+3,
450.900,1.00070154E+3,
451.0500,9.56125916E+2,
451.200,9.78441162E+2,
451.3500,9.49927612E+2,
451.500,1.00878375E+3,
451.6500,9.21482788E+2,
451.800,1.07885645E+3,
451.9500,1.05351782E+3,
452.100,1.13445569E+3,
452.2500,1.25733459E+3,
452.400,1.17498059E+3,
452.5500,1.23569421E+3,
452.700,1.13237549E+3,
452.8500,1.04080432E+3,
453.00,1.04424207E+3,
453.1500,9.25489136E+2,
453.300,9.65362488E+2,
453.4500,1.11388013E+3,
453.600,1.01208746E+3,
453.7500,9.43014587E+2,
453.900,9.10519409E+2,
454.0500,9.62381409E+2,
454.200,1.03048657E+3,
454.3500,1.06998999E+3,
454.500,1.11043909E+3,
454.6500,1.01664917E+3,
454.800,1.04842151E+3,
454.9500,9.56361267E+2,
455.100,9.97609497E+2,
455.2500,9.61150879E+2,
455.400,1.04055005E+3,
455.5500,9.79542908E+2,
455.700,1.01532068E+3,
455.8500,9.71719238E+2,
456.00,9.96330017E+2,
456.1500,1.03650488E+3,
456.300,1.09084253E+3,
456.4500,1.07428369E+3,
456.600,1.06719690E+3,
456.7500,1.12037756E+3,
456.900,1.06899805E+3,
457.0500,1.21713159E+3,
457.200,1.15064648E+3,
457.3500,1.09138684E+3,
457.500,1.07850037E+3,
457.6500,1.12627295E+3,
457.800,1.10463586E+3,
457.9500,1.05837976E+3,
458.100,1.20852148E+3,
458.2500,1.15642773E+3,
458.400,1.15759961E+3,
458.5500,1.17706970E+3,
458.700,1.13697229E+3,
458.8500,1.12264771E+3,
459.00,1.05811487E+3,
459.1500,1.06726123E+3,
459.300,1.06684229E+3,
459.4500,1.04990063E+3,
459.600,1.01902850E+3,
459.7500,1.07631140E+3,
459.900,1.04332556E+3,
460.0500,1.07921521E+3,
460.200,1.01214655E+3,
460.3500,1.03196460E+3,
460.500,1.07225769E+3,
460.6500,1.11337549E+3,
460.800,1.06443054E+3,
460.9500,1.10754834E+3,
461.100,1.12702734E+3,
461.2500,1.16452698E+3,
461.400,1.14695068E+3,
461.5500,1.24325317E+3,
461.700,1.19445544E+3,
461.8500,1.26671277E+3,
462.00,1.33959802E+3,
462.1500,1.37970251E+3,
462.300,1.49090442E+3,
462.4500,1.52600781E+3,
462.600,1.49330591E+3,
462.7500,1.58481165E+3,
462.900,1.44912952E+3,
463.0500,1.36736267E+3,
463.200,1.33270740E+3,
463.3500,1.33806995E+3,
463.500,1.31335498E+3,
463.6500,1.13772217E+3,
463.800,1.10615503E+3,
463.9500,1.21868982E+3,
464.100,1.13300830E+3,
464.2500,1.08281812E+3,
464.400,1.11018494E+3,
464.5500,1.01693835E+3,
464.700,1.05911951E+3,
464.8500,1.11482300E+3,
465.00,1.08101196E+3,
465.1500,1.12628845E+3,
465.300,1.05940344E+3,
465.4500,1.05964246E+3,
465.600,1.12665588E+3,
465.7500,1.06223083E+3,
465.900,1.07288928E+3,
466.0500,1.12824670E+3,
466.200,1.17638586E+3,
466.3500,1.19334741E+3,
466.500,1.27744946E+3,
466.6500,1.45937354E+3,
466.800,1.64389221E+3,
466.9500,1.87010938E+3,
467.100,2.04762000E+3,
467.2500,2.15294116E+3,
467.400,2.12368848E+3,
467.5500,1.94293506E+3,
467.700,1.94471729E+3,
467.8500,1.66449402E+3,
468.00,1.64110815E+3,
468.1500,1.53037097E+3,
468.300,1.39439856E+3,
468.4500,1.33298364E+3,
468.600,1.31642480E+3,
468.7500,1.36591541E+3,
468.900,1.30980237E+3,
469.0500,1.26097632E+3,
469.200,1.23973938E+3,
469.3500,1.29343433E+3,
469.500,1.30558813E+3,
469.6500,1.28741272E+3,
469.800,1.30057263E+3,
469.9500,1.27033008E+3,
470.100,1.27051831E+3,
470.2500,1.18814050E+3,
470.400,1.19650793E+3,
470.5500,1.13843530E+3,
470.700,1.12369067E+3,
470.8500,1.14817761E+3,
471.00,1.03296802E+3,
471.1500,1.05366003E+3,
471.300,1.05024097E+3,
471.4500,1.02173450E+3,
471.600,1.02234723E+3,
471.7500,1.05605725E+3,
471.900,1.04463037E+3,
472.0500,9.92178040E+2,
472.200,1.04506775E+3,
472.3500,1.03782983E+3,
472.500,1.02558838E+3,
472.6500,1.16755920E+3,
472.800,1.14128186E+3,
472.9500,1.28617273E+3,
473.100,1.26997192E+3,
473.2500,1.61905371E+3,
473.400,1.66389343E+3,
473.5500,1.68371350E+3,
473.700,1.52147314E+3,
473.8500,1.28125513E+3,
474.00,1.18110315E+3,
474.1500,1.13708423E+3,
474.300,1.12806873E+3,
474.4500,1.06005066E+3,
474.600,9.92034363E+2,
474.7500,9.71020996E+2,
474.900,1.04500903E+3,
475.0500,9.77025208E+2,
475.200,1.10811426E+3,
475.3500,1.02018353E+3,
475.500,1.02626318E+3,
475.6500,1.00733502E+3,
475.800,1.06543506E+3,
475.9500,9.98482910E+2,
476.100,1.02761780E+3,
476.2500,9.92733765E+2,
476.400,9.67848511E+2,
476.5500,1.04405811E+3,
476.700,1.02517859E+3,
476.8500,9.98282959E+2,
477.00,1.06050574E+3,
477.1500,1.04671704E+3,
477.300,9.98857788E+2,
477.4500,1.05318884E+3,
477.600,1.07045728E+3,
477.7500,1.08672961E+3,
477.900,1.06289856E+3,
478.0500,1.03007007E+3,
478.200,1.06954126E+3,
478.3500,1.04279553E+3,
478.500,1.11542505E+3,
478.6500,1.08164331E+3,
478.800,1.08400488E+3,
478.9500,1.08234631E+3,
479.100,1.07673975E+3,
479.2500,1.03897876E+3,
479.400,1.12092322E+3,
479.5500,1.13750317E+3,
479.700,1.06849463E+3,
479.8500,1.13745117E+3,
480.00,1.13792554E+3,
480.1500,1.12633740E+3,
480.300,1.18434473E+3,
480.4500,1.19496582E+3,
480.600,1.34392419E+3,
480.7500,1.38391492E+3,
480.900,1.45728760E+3,
481.0500,1.41545459E+3,
481.200,1.40289856E+3,
481.3500,1.33568726E+3,
481.500,1.31802051E+3,
481.6500,1.24868738E+3,
481.800,1.24616174E+3,
481.9500,1.23653711E+3,
482.100,1.23403821E+3,
482.2500,1.21025000E+3,
482.400,1.26154138E+3,
482.5500,1.23266211E+3,
482.700,1.26064050E+3,
482.8500,1.35978064E+3,
483.00,1.35021606E+3,
483.1500,1.33976501E+3,
483.300,1.38222693E+3,
483.4500,1.33103943E+3,
483.600,1.26960339E+3,
483.7500,1.25397498E+3,
483.900,1.21792578E+3,
484.0500,1.27270227E+3,
484.200,1.18667908E+3,
484.3500,1.22827942E+3,
484.500,1.25970239E+3,
484.6500,1.21340393E+3,
484.800,1.25201501E+3,
484.9500,1.22511157E+3,
485.100,1.16338293E+3,
485.2500,1.20211707E+3,
485.400,1.17623694E+3,
485.5500,1.13696680E+3,
485.700,1.13566772E+3,
485.8500,1.14156238E+3,
486.00,1.15054846E+3,
486.1500,1.14515967E+3,
486.300,1.16449231E+3,
486.4500,1.14878625E+3,
486.600,1.12170374E+3,
486.7500,1.15963635E+3,
486.900,1.22654919E+3,
487.0500,1.24078564E+3,
487.200,1.09254614E+3,
487.3500,1.23709473E+3,
487.500,1.28755078E+3,
487.6500,1.20643335E+3,
487.800,1.25692395E+3,
487.9500,1.27530322E+3,
488.100,1.32273865E+3,
488.2500,1.40344873E+3,
488.400,1.42291919E+3,
488.5500,1.36961084E+3,
488.700,1.39323950E+3,
488.8500,1.43875220E+3,
489.00,1.37493982E+3,
489.1500,1.41645789E+3,
489.300,1.46115320E+3,
489.4500,1.39110583E+3,
489.600,1.39406335E+3,
489.7500,1.40955933E+3,
489.900,1.52230579E+3,
490.0500,1.40928528E+3,
490.200,1.54125427E+3,
490.3500,1.50995581E+3,
490.500,1.57403137E+3,
490.6500,1.61196350E+3,
490.800,1.59848560E+3,
490.9500,1.69639294E+3,
491.100,1.84504187E+3,
491.2500,1.82238037E+3,
491.400,1.87027014E+3,
491.5500,2.05110718E+3,
491.700,2.06125854E+3,
491.8500,2.14535986E+3,
492.00,2.06890137E+3,
492.1500,2.04310364E+3,
492.300,2.02678601E+3,
492.4500,1.95002625E+3,
492.600,2.09375073E+3,
492.7500,1.79504492E+3,
492.900,1.90167969E+3,
493.0500,1.75753979E+3,
493.200,1.64506079E+3,
493.3500,1.72940698E+3,
493.500,1.70304224E+3,
493.6500,1.59130615E+3,
493.800,1.60641003E+3,
493.9500,1.54355322E+3,
494.100,1.53724536E+3,
494.2500,1.45817078E+3,
494.400,1.56954419E+3,
494.5500,1.50000769E+3,
494.700,1.49684070E+3,
494.8500,1.52263562E+3,
495.00,1.46577905E+3,
495.1500,1.54322534E+3,
495.300,1.46698987E+3,
495.4500,1.38094421E+3,
495.600,1.45633569E+3,
495.7500,1.40571265E+3,
495.900,1.46073181E+3,
496.0500,1.40898926E+3,
496.200,1.39506628E+3,
496.3500,1.33677087E+3,
496.500,1.40934766E+3,
496.6500,1.34878833E+3,
496.800,1.37377954E+3,
496.9500,1.40748999E+3,
497.100,1.33270715E+3,
497.2500,1.33391736E+3,
497.400,1.29812842E+3,
497.5500,1.32761560E+3,
497.700,1.31572839E+3,
497.8500,1.28526599E+3,
498.00,1.21652319E+3,
498.1500,1.29742188E+3,
498.300,1.31282129E+3,
498.4500,1.23626367E+3,
498.600,1.26258557E+3,
498.7500,1.23410120E+3,
498.900,1.23191174E+3,
499.0500,1.25719312E+3,
499.200,1.28472815E+3,
499.3500,1.27047168E+3,
499.500,1.22753503E+3,
499.6500,1.23966150E+3,
499.800,1.29264868E+3,
499.9500,1.19325427E+3,
500.100,1.17884192E+3,
500.2500,1.21753479E+3,
500.400,1.18982190E+3,
500.5500,1.14763965E+3,
500.700,1.15532056E+3,
500.8500,1.14523694E+3,
501.00,1.20295007E+3,
501.1500,1.14280151E+3,
501.300,1.07697485E+3,
501.4500,1.16151379E+3,
501.600,1.11343103E+3,
501.7500,1.10210962E+3,
501.900,1.08405896E+3,
502.0500,1.03913062E+3,
502.200,1.08368604E+3,
502.3500,1.07229053E+3,
502.500,1.03507849E+3,
502.6500,1.03483789E+3,
502.800,1.10536328E+3,
502.9500,1.08044055E+3,
503.100,1.02850037E+3,
503.2500,1.04180591E+3,
503.400,9.97640076E+2,
503.5500,9.71444519E+2,
503.700,1.00617987E+3,
503.8500,1.02288831E+3,
504.00,1.08260986E+3,
504.1500,9.62442322E+2,
504.300,9.87116577E+2,
504.4500,9.78936096E+2,
504.600,9.69601624E+2,
504.7500,9.94338135E+2,
504.900,1.02366492E+3,
505.0500,1.01319928E+3,
505.200,9.68534668E+2,
505.3500,1.06976660E+3,
505.500,1.00565924E+3,
505.6500,1.02483691E+3,
505.800,1.02231793E+3,
505.9500,1.06328369E+3,
506.100,1.08029602E+3,
506.2500,1.07098010E+3,
506.400,9.98517822E+2,
506.5500,1.09708618E+3,
506.700,1.07509961E+3,
506.8500,1.12327234E+3,
507.00,1.15655383E+3,
507.1500,1.24534167E+3,
507.300,1.28236035E+3,
507.4500,1.24434778E+3,
507.600,1.23401099E+3,
507.7500,1.39035217E+3,
507.900,1.34072888E+3,
508.0500,1.31538562E+3,
508.200,1.25403906E+3,
508.3500,1.29484595E+3,
508.500,1.22054187E+3,
508.6500,1.28468164E+3,
508.800,1.23235669E+3,
508.9500,1.19392590E+3,
509.100,1.20329248E+3,
509.2500,1.17641223E+3,
509.400,1.09679968E+3,
509.5500,1.16465967E+3,
509.700,1.05437732E+3,
509.8500,1.06127258E+3,
510.00,1.11870728E+3,
510.1500,1.01740149E+3,
510.300,1.05364636E+3,
510.4500,1.07817017E+3,
510.600,1.12396350E+3,
510.7500,1.03290186E+3,
510.900,9.60576599E+2,
511.0500,1.00874628E+3,
511.200,9.52847046E+2,
511.3500,9.77404297E+2,
511.500,9.65242676E+2,
511.6500,1.02782800E+3,
511.800,9.42030701E+2,
511.9500,9.16715393E+2,
512.100,9.73508728E+2,
512.2500,9.05347839E+2,
512.400,9.15750610E+2,
512.5500,9.16620728E+2,
512.700,8.27890991E+2,
512.8500,8.27476929E+2,
513.00,8.43816345E+2,
513.1500,7.84763489E+2,
513.300,8.73103699E+2,
513.4500,8.37965027E+2,
513.600,8.42408569E+2,
513.7500,8.31220520E+2,
513.900,8.04353027E+2,
514.0500,8.16011292E+2,
514.200,8.18063965E+2,
514.3500,7.95960022E+2,
514.500,7.39953796E+2,
514.6500,6.93511780E+2,
514.800,6.77259827E+2,
514.9500,7.16761108E+2,
515.100,6.77427246E+2,
515.2500,7.86272949E+2,
515.400,7.10429871E+2,
515.5500,6.84356262E+2,
515.700,6.87482544E+2,
515.8500,7.65041687E+2,
516.00,6.88859558E+2,
516.1500,7.56795959E+2,
516.300,7.52658813E+2,
516.4500,7.70562134E+2,
516.600,7.79913452E+2,
516.7500,7.20541321E+2,
516.900,6.77021484E+2,
517.0500,6.72779053E+2,
517.200,7.14098328E+2,
517.3500,6.82783447E+2,
517.500,7.00751221E+2,
517.6500,6.08840332E+2,
517.800,6.37889587E+2,
517.9500,7.17731934E+2,
518.100,7.32094299E+2,
518.2500,6.29929688E+2,
518.400,6.82713257E+2,
518.5500,6.70988708E+2,
518.700,6.82870911E+2,
518.8500,6.79832642E+2,
519.00,6.85510864E+2,
519.1500,6.23853577E+2,
519.300,6.39502258E+2,
519.4500,6.82689392E+2,
519.600,6.63381165E+2,
519.7500,6.05187927E+2,
519.900,6.05821594E+2,
520.0500,6.89333008E+2,
520.200,6.57399048E+2,
520.3500,7.02151062E+2,
520.500,6.28586365E+2,
520.6500,6.73398743E+2,
520.800,6.09737915E+2,
520.9500,6.24291077E+2,
521.100,6.73024109E+2,
521.2500,6.25607727E+2,
521.400,6.23727844E+2,
521.5500,6.01535767E+2,
521.700,6.72033813E+2,
521.8500,6.44753906E+2,
522.00,6.12323425E+2,
522.1500,6.62656006E+2,
522.300,6.77371155E+2,
522.4500,6.46143982E+2,
522.600,6.64701965E+2,
522.7500,5.87327454E+2,
522.900,6.57094360E+2,
523.0500,6.43670471E+2,
523.200,6.46927917E+2,
523.3500,6.64323669E+2,
523.500,6.38019287E+2,
523.6500,6.38697876E+2,
523.800,6.75468384E+2,
523.9500,6.37470093E+2,
524.100,7.25993591E+2,
524.2500,6.49181396E+2,
524.400,6.49876038E+2,
524.5500,7.11478882E+2,
524.700,7.09641479E+2,
524.8500,6.16886841E+2,
525.00,6.99445251E+2,
525.1500,6.76735474E+2,
525.300,7.17810486E+2,
525.4500,6.63770020E+2,
525.600,6.86634644E+2,
525.7500,7.52665100E+2,
525.900,6.68402710E+2,
526.0500,7.17530701E+2,
526.200,7.14349060E+2,
526.3500,6.94100037E+2,
526.500,7.80197327E+2,
526.6500,7.42876831E+2,
526.800,7.16004883E+2,
526.9500,6.95662903E+2,
527.100,6.84558838E+2,
527.2500,7.02503906E+2,
527.400,7.12554810E+2,
527.5500,7.42477051E+2,
527.700,7.87039307E+2,
527.8500,7.94556641E+2,
528.00,7.43658142E+2,
528.1500,7.27239624E+2,
528.300,7.79993408E+2,
528.4500,8.28869141E+2,
528.600,7.44440857E+2,
528.7500,7.50640564E+2,
528.900,7.96967041E+2,
529.0500,8.08582153E+2,
529.200,7.98764404E+2,
529.3500,7.96970703E+2,
529.500,8.20691223E+2,
529.6500,8.09499390E+2,
529.800,7.82124451E+2,
529.9500,7.87030396E+2,
530.100,7.86537781E+2,
530.2500,8.46813416E+2,
530.400,7.81476379E+2,
530.5500,8.45929565E+2,
530.700,8.57676208E+2,
530.8500,8.51810608E+2,
531.00,8.74444702E+2,
531.1500,8.94422974E+2,
531.300,9.15800842E+2,
531.4500,9.22237671E+2,
531.600,8.53679810E+2,
531.7500,8.81899109E+2,
531.900,8.18611267E+2,
532.0500,8.83799988E+2,
532.200,8.80679016E+2,
532.3500,8.33669128E+2,
532.500,8.09888000E+2,
532.6500,8.95987488E+2,
532.800,8.92850830E+2,
532.9500,8.64913940E+2,
533.100,8.57619385E+2,
533.2500,8.40656189E+2,
533.400,8.19504883E+2,
533.5500,8.93765259E+2,
533.700,8.61538147E+2,
533.8500,8.63900635E+2,
534.00,9.06524841E+2,
534.1500,9.28408264E+2,
534.300,8.52937988E+2,
534.4500,8.90125854E+2,
