Labels,32C_100_675K,
Type,Emission Scan,
Comment,,
Start,450.00,
Stop,750.00,
Step,0.150,
Fixed/Offset,248.400,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,Xe,
Temp,27.350,
Scan Polariser,None,
Scan Slit,0.2520,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.9970,
Detector,Red PMT,

450.00,1.00751752E+3,
450.1500,1.11119434E+3,
450.300,1.08675391E+3,
450.4500,8.76201538E+2,
450.600,7.84504395E+2,
450.7500,7.47112122E+2,
450.900,7.72693604E+2,
451.0500,6.92476563E+2,
451.200,7.27477356E+2,
451.3500,6.78292786E+2,
451.500,7.45070190E+2,
451.6500,7.14943542E+2,
451.800,7.48367310E+2,
451.9500,7.29358521E+2,
452.100,8.34997375E+2,
452.2500,8.67671265E+2,
452.400,9.20506165E+2,
452.5500,9.04090210E+2,
452.700,8.53565002E+2,
452.8500,8.01931152E+2,
453.00,7.60010498E+2,
453.1500,7.48986206E+2,
453.300,7.65579712E+2,
453.4500,7.92597717E+2,
453.600,7.10870972E+2,
453.7500,7.46927429E+2,
453.900,7.57278381E+2,
454.0500,7.16981567E+2,
454.200,7.44240356E+2,
454.3500,7.18671753E+2,
454.500,7.81795471E+2,
454.6500,7.49185608E+2,
454.800,7.31324036E+2,
454.9500,7.26494019E+2,
455.100,7.52434265E+2,
455.2500,7.38701111E+2,
455.400,7.33525269E+2,
455.5500,7.06374573E+2,
455.700,7.02914307E+2,
455.8500,7.14499451E+2,
456.00,7.36770508E+2,
456.1500,7.19645874E+2,
456.300,7.64123169E+2,
456.4500,7.43123474E+2,
456.600,8.57968384E+2,
456.7500,8.78522400E+2,
456.900,8.14412903E+2,
457.0500,7.98944275E+2,
457.200,8.11994690E+2,
457.3500,8.37664917E+2,
457.500,8.55449768E+2,
457.6500,8.02500977E+2,
457.800,8.44132202E+2,
457.9500,8.29271667E+2,
458.100,8.79149902E+2,
458.2500,8.64549805E+2,
458.400,8.68505920E+2,
458.5500,8.24923584E+2,
458.700,8.35153442E+2,
458.8500,7.76568298E+2,
459.00,7.83388916E+2,
459.1500,7.73585327E+2,
459.300,7.87657532E+2,
459.4500,7.38950317E+2,
459.600,8.18988281E+2,
459.7500,7.30814270E+2,
459.900,8.68466553E+2,
460.0500,7.50808838E+2,
460.200,7.92617004E+2,
460.3500,7.45499451E+2,
460.500,7.41186707E+2,
460.6500,8.28187134E+2,
460.800,8.30414795E+2,
460.9500,8.34903625E+2,
461.100,8.50905701E+2,
461.2500,8.73675964E+2,
461.400,8.71682495E+2,
461.5500,8.30693848E+2,
461.700,9.23341797E+2,
461.8500,9.16816650E+2,
462.00,9.98629517E+2,
462.1500,1.02212408E+3,
462.300,1.05756580E+3,
462.4500,1.15298364E+3,
462.600,1.06462122E+3,
462.7500,1.14863489E+3,
462.900,1.01200439E+3,
463.0500,1.01686780E+3,
463.200,9.51779724E+2,
463.3500,9.43000183E+2,
463.500,1.00407764E+3,
463.6500,8.84895020E+2,
463.800,8.27211548E+2,
463.9500,8.79631775E+2,
464.100,7.91510010E+2,
464.2500,8.22729431E+2,
464.400,7.63781860E+2,
464.5500,7.99174011E+2,
464.700,7.95394531E+2,
464.8500,7.69533203E+2,
465.00,7.84757996E+2,
465.1500,7.91757690E+2,
465.300,7.81990540E+2,
465.4500,7.73309082E+2,
465.600,8.12652771E+2,
465.7500,8.38329285E+2,
465.900,8.21300842E+2,
466.0500,8.30356384E+2,
466.200,8.71665649E+2,
466.3500,9.26319092E+2,
466.500,8.91940857E+2,
466.6500,1.05169849E+3,
466.800,1.24812134E+3,
466.9500,1.39254700E+3,
467.100,1.61178125E+3,
467.2500,1.71968347E+3,
467.400,1.83348853E+3,
467.5500,1.43697314E+3,
467.700,1.44140271E+3,
467.8500,1.26293103E+3,
468.00,1.22266638E+3,
468.1500,1.09909387E+3,
468.300,1.01345990E+3,
468.4500,1.02365002E+3,
468.600,9.32171082E+2,
468.7500,1.00437946E+3,
468.900,8.68466980E+2,
469.0500,8.49435791E+2,
469.200,9.64241699E+2,
469.3500,9.36171143E+2,
469.500,9.79949585E+2,
469.6500,9.07454163E+2,
469.800,8.85560669E+2,
469.9500,9.29288330E+2,
470.100,9.30705078E+2,
470.2500,8.41473572E+2,
470.400,7.96664795E+2,
470.5500,8.02239502E+2,
470.700,7.74612183E+2,
470.8500,7.96284302E+2,
471.00,7.88793701E+2,
471.1500,7.69402832E+2,
471.300,8.21316528E+2,
471.4500,7.29666992E+2,
471.600,6.98286255E+2,
471.7500,7.22090454E+2,
471.900,7.69938660E+2,
472.0500,7.21584045E+2,
472.200,7.49482971E+2,
472.3500,7.24277039E+2,
472.500,7.23119873E+2,
472.6500,7.99067078E+2,
472.800,8.01900696E+2,
472.9500,9.19838745E+2,
473.100,1.02778650E+3,
473.2500,1.13974182E+3,
473.400,1.26167749E+3,
473.5500,1.16249268E+3,
473.700,1.12334937E+3,
473.8500,9.27184570E+2,
474.00,8.59075073E+2,
474.1500,7.91058594E+2,
474.300,7.89048096E+2,
474.4500,7.66036560E+2,
474.600,7.62026367E+2,
474.7500,7.25015686E+2,
474.900,7.14006226E+2,
475.0500,7.38019043E+2,
475.200,7.11073303E+2,
475.3500,7.21129700E+2,
475.500,7.04180542E+2,
475.6500,7.03233887E+2,
475.800,7.15292114E+2,
475.9500,7.48361938E+2,
476.100,7.19432556E+2,
476.2500,6.86507446E+2,
476.400,7.16628296E+2,
476.5500,7.44754761E+2,
476.700,7.41852844E+2,
476.8500,7.00900757E+2,
477.00,7.15015198E+2,
477.1500,6.84122253E+2,
477.300,7.69431091E+2,
477.4500,7.26509888E+2,
477.600,7.87808411E+2,
477.7500,7.56901123E+2,
477.900,6.48769226E+2,
478.0500,6.93065613E+2,
478.200,7.37441650E+2,
478.3500,7.23633911E+2,
478.500,7.07807983E+2,
478.6500,7.05026550E+2,
478.800,7.44437073E+2,
478.9500,7.30608887E+2,
479.100,7.18831848E+2,
479.2500,7.35230835E+2,
479.400,7.50636169E+2,
479.5500,8.08331848E+2,
479.700,7.42205933E+2,
479.8500,7.56621643E+2,
480.00,7.54921387E+2,
480.1500,8.48030212E+2,
480.300,7.87881775E+2,
480.4500,8.79066956E+2,
480.600,9.07729431E+2,
480.7500,9.30354431E+2,
480.900,9.45923157E+2,
481.0500,1.05956885E+3,
481.200,9.79095764E+2,
481.3500,9.61290100E+2,
481.500,9.47517029E+2,
481.6500,8.91196167E+2,
481.800,8.30774536E+2,
481.9500,8.65575989E+2,
482.100,8.11200134E+2,
482.2500,7.80119263E+2,
482.400,8.69783508E+2,
482.5500,8.47835938E+2,
482.700,9.02053772E+2,
482.8500,8.84162354E+2,
483.00,9.09972473E+2,
483.1500,9.71507629E+2,
483.300,9.16056152E+2,
483.4500,8.86001770E+2,
483.600,8.09041016E+2,
483.7500,8.15593506E+2,
483.900,8.48671936E+2,
484.0500,7.98117981E+2,
484.200,8.47627869E+2,
484.3500,8.39971436E+2,
484.500,8.55820557E+2,
484.6500,8.43039551E+2,
484.800,8.34335449E+2,
484.9500,7.77474670E+2,
485.100,8.07705505E+2,
485.2500,8.08249329E+2,
485.400,7.60551086E+2,
485.5500,7.71329773E+2,
485.700,7.26621826E+2,
485.8500,7.51785645E+2,
486.00,6.92593140E+2,
486.1500,7.82663086E+2,
486.300,7.68770996E+2,
486.4500,7.10515015E+2,
486.600,7.61561462E+2,
486.7500,7.56913147E+2,
486.900,7.72922363E+2,
487.0500,7.52743286E+2,
487.200,7.54229309E+2,
487.3500,7.36045471E+2,
487.500,7.62379272E+2,
487.6500,7.66976563E+2,
487.800,7.72614136E+2,
487.9500,8.30140442E+2,
488.100,7.90113098E+2,
488.2500,8.13397766E+2,
488.400,7.82657532E+2,
488.5500,8.24678345E+2,
488.700,8.46973083E+2,
488.8500,8.44303894E+2,
489.00,8.76003357E+2,
489.1500,8.80726196E+2,
489.300,8.94839050E+2,
489.4500,8.98531250E+2,
489.600,8.61499817E+2,
489.7500,8.72484802E+2,
489.900,8.67797913E+2,
490.0500,8.74656616E+2,
490.200,9.01508118E+2,
490.3500,8.62382813E+2,
490.500,9.74200684E+2,
490.6500,9.08828369E+2,
490.800,9.10569641E+2,
490.9500,9.64862915E+2,
491.100,9.76168091E+2,
491.2500,1.02962915E+3,
491.400,1.04629761E+3,
491.5500,1.17688208E+3,
491.700,1.17786194E+3,
491.8500,1.25806189E+3,
492.00,1.14175452E+3,
492.1500,1.19877600E+3,
492.300,1.15317139E+3,
492.4500,1.04919885E+3,
492.600,1.12854651E+3,
492.7500,1.09443604E+3,
492.900,1.11126086E+3,
493.0500,1.01008038E+3,
493.200,1.06407556E+3,
493.3500,1.02869897E+3,
493.500,9.84737854E+2,
493.6500,9.94033020E+2,
493.800,9.26487610E+2,
493.9500,9.25063782E+2,
494.100,9.20422974E+2,
494.2500,8.98652588E+2,
494.400,9.04682739E+2,
494.5500,8.80718811E+2,
494.700,9.11400146E+2,
494.8500,9.18517334E+2,
495.00,8.69802979E+2,
495.1500,9.17767700E+2,
495.300,8.15233398E+2,
495.4500,8.34163513E+2,
495.600,8.42348022E+2,
495.7500,8.39762390E+2,
495.900,8.24223877E+2,
496.0500,8.71305969E+2,
496.200,8.58003601E+2,
496.3500,7.62478577E+2,
496.500,8.44309631E+2,
496.6500,8.33106995E+2,
496.800,7.83932617E+2,
496.9500,7.93273071E+2,
497.100,8.52628479E+2,
497.2500,8.06655823E+2,
497.400,7.88887756E+2,
497.5500,7.80886292E+2,
497.700,7.45615784E+2,
497.8500,8.11746948E+2,
498.00,7.58961914E+2,
498.1500,7.65118225E+2,
498.300,7.45026062E+2,
498.4500,7.52270264E+2,
498.600,8.12131836E+2,
498.7500,8.10667358E+2,
498.900,7.55396851E+2,
499.0500,7.64865723E+2,
499.200,7.57857605E+2,
499.3500,7.79457520E+2,
499.500,7.72443481E+2,
499.6500,7.41149963E+2,
499.800,7.64991882E+2,
499.9500,7.64566650E+2,
500.100,7.66357849E+2,
500.2500,7.17238708E+2,
500.400,7.35606873E+2,
500.5500,7.09651611E+2,
500.700,7.58005676E+2,
500.8500,7.00916138E+2,
501.00,7.29330200E+2,
501.1500,6.09790894E+2,
501.300,6.84942627E+2,
501.4500,7.00029480E+2,
501.600,6.63819092E+2,
501.7500,7.29156616E+2,
501.900,6.76139893E+2,
502.0500,7.34885681E+2,
502.200,6.66108704E+2,
502.3500,7.09257996E+2,
502.500,6.77342773E+2,
502.6500,6.59961670E+2,
502.800,6.65015320E+2,
502.9500,7.24041260E+2,
503.100,6.86417114E+2,
503.2500,6.55492981E+2,
503.400,6.61711548E+2,
503.5500,6.64553833E+2,
503.700,7.12569580E+2,
503.8500,6.05821106E+2,
504.00,6.01826965E+2,
504.1500,6.55593018E+2,
504.300,6.38055847E+2,
504.4500,6.70395447E+2,
504.600,6.32398254E+2,
504.7500,5.87511780E+2,
504.900,6.57420349E+2,
505.0500,6.85332520E+2,
505.200,6.49487976E+2,
505.3500,6.67178528E+2,
505.500,5.82163696E+2,
505.6500,6.24956238E+2,
505.800,6.50669922E+2,
505.9500,6.59258728E+2,
506.100,6.88502563E+2,
506.2500,6.63915955E+2,
506.400,6.78303467E+2,
506.5500,6.38722473E+2,
506.700,6.49659119E+2,
506.8500,6.29538879E+2,
507.00,7.21118225E+2,
507.1500,6.59569824E+2,
507.300,6.64842102E+2,
507.4500,8.15700562E+2,
507.600,7.80653625E+2,
507.7500,7.51322754E+2,
507.900,7.23089722E+2,
508.0500,7.94567139E+2,
508.200,7.64034912E+2,
508.3500,7.45059509E+2,
508.500,7.58620850E+2,
508.6500,7.29112183E+2,
508.800,7.83485107E+2,
508.9500,6.55900635E+2,
509.100,7.66368774E+2,
509.2500,6.77080200E+2,
509.400,6.37946411E+2,
509.5500,7.24104248E+2,
509.700,6.80243408E+2,
509.8500,6.69165222E+2,
510.00,6.29860352E+2,
510.1500,6.86893005E+2,
510.300,6.56910278E+2,
510.4500,6.53972107E+2,
510.600,6.21541199E+2,
510.7500,5.83146851E+2,
510.900,5.86034424E+2,
511.0500,6.31501160E+2,
511.200,6.21421997E+2,
511.3500,6.18430359E+2,
511.500,6.32032349E+2,
511.6500,6.52777649E+2,
511.800,6.02281921E+2,
511.9500,6.19466553E+2,
512.100,5.85533386E+2,
512.2500,5.24148743E+2,
512.400,6.14077515E+2,
512.5500,5.28727844E+2,
512.700,5.77014954E+2,
512.8500,5.36903381E+2,
513.00,5.42196899E+2,
513.1500,5.52329712E+2,
513.300,5.43291138E+2,
513.4500,5.46237976E+2,
513.600,4.97513763E+2,
513.7500,5.49736328E+2,
513.900,5.58712280E+2,
514.0500,5.19499084E+2,
514.200,5.44169373E+2,
514.3500,5.32653076E+2,
514.500,5.62219788E+2,
514.6500,5.18015808E+2,
514.800,5.01584198E+2,
514.9500,5.37267639E+2,
515.100,4.94109131E+2,
515.2500,4.71520721E+2,
515.400,5.07276123E+2,
515.5500,5.26053223E+2,
515.700,5.02203552E+2,
515.8500,5.64935059E+2,
516.00,5.16644653E+2,
516.1500,5.40393860E+2,
516.300,4.94429535E+2,
516.4500,4.69197632E+2,
516.600,4.84380219E+2,
516.7500,4.66449249E+2,
516.900,5.01315369E+2,
517.0500,4.91977356E+2,
517.200,4.67857544E+2,
517.3500,4.78194916E+2,
517.500,4.31800934E+2,
517.6500,4.63113831E+2,
517.800,5.20448669E+2,
517.9500,4.62813354E+2,
518.100,4.88062866E+2,
518.2500,4.67487183E+2,
518.400,4.67968933E+2,
518.5500,4.70934662E+2,
518.700,4.63954163E+2,
518.8500,4.85594727E+2,
519.00,4.51190765E+2,
519.1500,4.55413116E+2,
519.300,5.05856293E+2,
519.4500,4.75131836E+2,
519.600,4.36830231E+2,
519.7500,4.29771118E+2,
519.900,4.21441101E+2,
520.0500,4.90945709E+2,
520.200,4.44969910E+2,
520.3500,4.69359039E+2,
520.500,4.67345795E+2,
520.6500,4.86763885E+2,
520.800,4.44363892E+2,
520.9500,4.75168915E+2,
521.100,4.47839355E+2,
521.2500,4.66039764E+2,
521.400,4.01873413E+2,
521.5500,4.32750427E+2,
521.700,4.61149841E+2,
521.8500,4.92149414E+2,
522.00,5.19392822E+2,
522.1500,4.68956543E+2,
522.300,4.34997314E+2,
522.4500,4.58430206E+2,
522.600,4.52508667E+2,
522.7500,4.84960999E+2,
522.900,4.53433533E+2,
523.0500,4.15436737E+2,
523.200,4.82628784E+2,
523.3500,4.74149750E+2,
523.500,4.82373444E+2,
523.6500,4.60995636E+2,
523.800,4.76952850E+2,
523.9500,4.77457336E+2,
524.100,4.48255829E+2,
524.2500,4.62962006E+2,
524.400,4.75108551E+2,
524.5500,4.23777039E+2,
524.700,4.77418732E+2,
524.8500,4.59743042E+2,
525.00,4.06926331E+2,
525.1500,4.93236053E+2,
525.300,4.71592346E+2,
525.4500,4.95545380E+2,
525.600,4.62107697E+2,
525.7500,5.08310272E+2,
525.900,4.78738525E+2,
526.0500,4.93629700E+2,
526.200,4.48270416E+2,
526.3500,5.05157867E+2,
526.500,5.03056519E+2,
526.6500,5.08837769E+2,
526.800,5.17260864E+2,
526.9500,4.92761230E+2,
527.100,4.57691559E+2,
527.2500,4.81981079E+2,
527.400,5.26153625E+2,
527.5500,4.55280029E+2,
527.700,5.07468109E+2,
527.8500,5.53138733E+2,
528.00,5.25872559E+2,
528.1500,5.58392395E+2,
528.300,5.16446167E+2,
528.4500,4.99720123E+2,
528.600,5.01630402E+2,
528.7500,5.31592407E+2,
528.900,4.92087006E+2,
529.0500,5.46194580E+2,
529.200,5.44124756E+2,
529.3500,5.20580200E+2,
529.500,5.62798096E+2,
529.6500,5.09634979E+2,
529.800,5.26352295E+2,
529.9500,5.32323669E+2,
530.100,5.66630981E+2,
530.2500,5.37530701E+2,
530.400,5.57038513E+2,
530.5500,5.22446106E+2,
530.700,5.40620544E+2,
530.8500,5.57474792E+2,
531.00,5.70290039E+2,
531.1500,5.62752441E+2,
531.300,5.85132813E+2,
531.4500,5.68054810E+2,
531.600,6.15031250E+2,
531.7500,5.78831604E+2,
531.900,5.68518005E+2,
532.0500,5.52717041E+2,
532.200,6.38252625E+2,
532.3500,5.52580017E+2,
532.500,5.35349731E+2,
532.6500,5.60679260E+2,
532.800,5.51669006E+2,
532.9500,5.30241821E+2,
533.100,6.02539673E+2,
533.2500,5.41112061E+2,
533.400,5.59695557E+2,
533.5500,5.71401001E+2,
533.700,6.19143982E+2,
533.8500,5.83791565E+2,
534.00,5.01156921E+2,
534.1500,5.43424622E+2,
534.300,5.99700256E+2,
534.4500,5.30732300E+2,
