Labels,32C_26_575K,
Type,Emission Scan,
Comment,,
Start,450.00,
Stop,750.1500,
Step,0.150,
Fixed/Offset,248.400,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,Xe,
Temp,28.40,
Scan Polariser,None,
Scan Slit,0.2520,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.9970,
Detector,Red PMT,

450.00,1.50203308E+3,
450.1500,1.56464832E+3,
450.300,1.43967688E+3,
450.4500,1.33382544E+3,
450.600,1.15322144E+3,
450.7500,1.08441589E+3,
450.900,1.00386835E+3,
451.0500,9.14831421E+2,
451.200,9.41908447E+2,
451.3500,9.83286255E+2,
451.500,1.04532239E+3,
451.6500,9.00828857E+2,
451.800,1.03277869E+3,
451.9500,1.18858423E+3,
452.100,1.13604004E+3,
452.2500,1.22578284E+3,
452.400,1.22053467E+3,
452.5500,1.34987866E+3,
452.700,1.14950903E+3,
452.8500,1.06407117E+3,
453.00,1.14619470E+3,
453.1500,1.10659644E+3,
453.300,1.07211658E+3,
453.4500,1.06841565E+3,
453.600,1.01961792E+3,
453.7500,1.04929089E+3,
453.900,1.03698047E+3,
454.0500,9.77164551E+2,
454.200,1.01874316E+3,
454.3500,1.08748303E+3,
454.500,1.07279712E+3,
454.6500,9.99393433E+2,
454.800,1.07556055E+3,
454.9500,1.05710559E+3,
455.100,1.04551733E+3,
455.2500,9.97526306E+2,
455.400,1.06555652E+3,
455.5500,1.02920984E+3,
455.700,1.13863892E+3,
455.8500,1.08331726E+3,
456.00,1.01255249E+3,
456.1500,1.08886719E+3,
456.300,1.08817542E+3,
456.4500,1.03189514E+3,
456.600,1.20405066E+3,
456.7500,1.15044604E+3,
456.900,1.12355212E+3,
457.0500,1.16679431E+3,
457.200,1.23530945E+3,
457.3500,1.08756189E+3,
457.500,1.28634290E+3,
457.6500,1.18296448E+3,
457.800,1.28999426E+3,
457.9500,1.18912085E+3,
458.100,1.18870972E+3,
458.2500,1.17243787E+3,
458.400,1.25069751E+3,
458.5500,1.15513672E+3,
458.700,1.12727539E+3,
458.8500,1.11903015E+3,
459.00,1.09410510E+3,
459.1500,1.15679651E+3,
459.300,1.02169757E+3,
459.4500,1.02980115E+3,
459.600,1.12610889E+3,
459.7500,1.04586084E+3,
459.900,1.09345178E+3,
460.0500,1.05948755E+3,
460.200,1.09302576E+3,
460.3500,1.10444360E+3,
460.500,1.13870105E+3,
460.6500,1.15102039E+3,
460.800,1.12804639E+3,
460.9500,1.13696228E+3,
461.100,1.23071387E+3,
461.2500,1.24425830E+3,
461.400,1.23870667E+3,
461.5500,1.23321802E+3,
461.700,1.25556702E+3,
461.8500,1.24456750E+3,
462.00,1.38594324E+3,
462.1500,1.50072900E+3,
462.300,1.52710742E+3,
462.4500,1.55116772E+3,
462.600,1.51621265E+3,
462.7500,1.54239038E+3,
462.900,1.49902478E+3,
463.0500,1.35113599E+3,
463.200,1.35536877E+3,
463.3500,1.32299915E+3,
463.500,1.29832068E+3,
463.6500,1.20200024E+3,
463.800,1.14356116E+3,
463.9500,1.19736548E+3,
464.100,1.10641187E+3,
464.2500,1.16880652E+3,
464.400,1.16632983E+3,
464.5500,1.06979370E+3,
464.700,1.17515857E+3,
464.8500,1.16851135E+3,
465.00,1.05474841E+3,
465.1500,1.09692517E+3,
465.300,1.20386755E+3,
465.4500,1.10771301E+3,
465.600,1.14751990E+3,
465.7500,1.09763855E+3,
465.900,1.13630615E+3,
466.0500,1.10956372E+3,
466.200,1.21680786E+3,
466.3500,1.30305664E+3,
466.500,1.29605310E+3,
466.6500,1.45214893E+3,
466.800,1.63255505E+3,
466.9500,1.92054150E+3,
467.100,2.05892725E+3,
467.2500,2.23096851E+3,
467.400,2.30416602E+3,
467.5500,2.08734937E+3,
467.700,1.97438416E+3,
467.8500,1.79528296E+3,
468.00,1.67682874E+3,
468.1500,1.60785803E+3,
468.300,1.49523523E+3,
468.4500,1.42252759E+3,
468.600,1.42417847E+3,
468.7500,1.32123120E+3,
468.900,1.35241406E+3,
469.0500,1.27820837E+3,
469.200,1.26506079E+3,
469.3500,1.38148499E+3,
469.500,1.31367847E+3,
469.6500,1.34198120E+3,
469.800,1.25311377E+3,
469.9500,1.24914111E+3,
470.100,1.23825110E+3,
470.2500,1.27581494E+3,
470.400,1.23075146E+3,
470.5500,1.17869824E+3,
470.700,1.15688831E+3,
470.8500,1.15219922E+3,
471.00,1.14751904E+3,
471.1500,1.09182886E+3,
471.300,1.09642737E+3,
471.4500,1.08797668E+3,
471.600,1.10361328E+3,
471.7500,1.03599927E+3,
471.900,1.01355206E+3,
472.0500,1.00921545E+3,
472.200,1.10318274E+3,
472.3500,1.03682813E+3,
472.500,1.06765344E+3,
472.6500,1.12650439E+3,
472.800,1.22537634E+3,
472.9500,1.29217822E+3,
473.100,1.35103394E+3,
473.2500,1.65407654E+3,
473.400,1.71892297E+3,
473.5500,1.65570166E+3,
473.700,1.45545264E+3,
473.8500,1.31726221E+3,
474.00,1.17110229E+3,
474.1500,1.13208386E+3,
474.300,1.09406665E+3,
474.4500,1.08005151E+3,
474.600,1.10203821E+3,
474.7500,1.08802356E+3,
474.900,1.01500885E+3,
475.0500,1.13902942E+3,
475.200,1.06710999E+3,
475.3500,1.06619177E+3,
475.500,1.09628113E+3,
475.6500,1.06135303E+3,
475.800,1.04042480E+3,
475.9500,1.10053223E+3,
476.100,1.02061365E+3,
476.2500,1.05377893E+3,
476.400,1.05892834E+3,
476.5500,1.06007434E+3,
476.700,1.07323376E+3,
476.8500,1.05335376E+3,
477.00,1.04548438E+3,
477.1500,1.03369568E+3,
477.300,1.12509253E+3,
477.4500,1.02913879E+3,
477.600,1.03337207E+3,
477.7500,1.04863391E+3,
477.900,1.03181384E+3,
478.0500,1.07119263E+3,
478.200,1.11368738E+3,
478.3500,1.14918286E+3,
478.500,1.12245300E+3,
478.6500,1.16198828E+3,
478.800,1.10208826E+3,
478.9500,1.15671362E+3,
479.100,1.20542566E+3,
479.2500,1.16269067E+3,
479.400,1.15110962E+3,
479.5500,1.17676208E+3,
479.700,1.16617981E+3,
479.8500,1.13845874E+3,
480.00,1.24778735E+3,
480.1500,1.25843250E+3,
480.300,1.22267957E+3,
480.4500,1.24946606E+3,
480.600,1.39239038E+3,
480.7500,1.51119458E+3,
480.900,1.51994495E+3,
481.0500,1.52262476E+3,
481.200,1.44538000E+3,
481.3500,1.46622034E+3,
481.500,1.37066028E+3,
481.6500,1.36413770E+3,
481.800,1.40623792E+3,
481.9500,1.32877063E+3,
482.100,1.37498425E+3,
482.2500,1.27720435E+3,
482.400,1.32040649E+3,
482.5500,1.32810706E+3,
482.700,1.39777698E+3,
482.8500,1.33234119E+3,
483.00,1.45087231E+3,
483.1500,1.43030347E+3,
483.300,1.44736865E+3,
483.4500,1.46648560E+3,
483.600,1.31341797E+3,
483.7500,1.29883264E+3,
483.900,1.22608618E+3,
484.0500,1.32271216E+3,
484.200,1.35109839E+3,
484.3500,1.35805603E+3,
484.500,1.31389417E+3,
484.6500,1.31469153E+3,
484.800,1.25406250E+3,
484.9500,1.30705884E+3,
485.100,1.30995898E+3,
485.2500,1.22570801E+3,
485.400,1.23576721E+3,
485.5500,1.28589197E+3,
485.700,1.25591492E+3,
485.8500,1.22589404E+3,
486.00,1.15363586E+3,
486.1500,1.21724707E+3,
486.300,1.22220166E+3,
486.4500,1.20859741E+3,
486.600,1.30125879E+3,
486.7500,1.31762781E+3,
486.900,1.16041687E+3,
487.0500,1.19218823E+3,
487.200,1.24256433E+3,
487.3500,1.27229236E+3,
487.500,1.26372644E+3,
487.6500,1.36293811E+3,
487.800,1.39900208E+3,
487.9500,1.37076941E+3,
488.100,1.44836768E+3,
488.2500,1.51979688E+3,
488.400,1.46969153E+3,
488.5500,1.61607837E+3,
488.700,1.58885486E+3,
488.8500,1.58450134E+3,
489.00,1.52285010E+3,
489.1500,1.57384204E+3,
489.300,1.50182776E+3,
489.4500,1.59460596E+3,
489.600,1.56323059E+3,
489.7500,1.61853772E+3,
489.900,1.57981042E+3,
490.0500,1.56622131E+3,
490.200,1.62606519E+3,
490.3500,1.67446863E+3,
490.500,1.69148083E+3,
490.6500,1.72740356E+3,
490.800,1.71086267E+3,
490.9500,1.94444055E+3,
491.100,1.97758191E+3,
491.2500,2.08557813E+3,
491.400,2.11261499E+3,
491.5500,2.11859863E+3,
491.700,2.21218530E+3,
491.8500,2.26155371E+3,
492.00,2.25602222E+3,
492.1500,2.28010791E+3,
492.300,2.28939990E+3,
492.4500,2.15138770E+3,
492.600,2.16905786E+3,
492.7500,2.07847314E+3,
492.900,2.15452856E+3,
493.0500,2.04461536E+3,
493.200,2.02174353E+3,
493.3500,1.86252026E+3,
493.500,1.84265332E+3,
493.6500,1.86327869E+3,
493.800,1.72809155E+3,
493.9500,1.66746484E+3,
494.100,1.79060217E+3,
494.2500,1.71171924E+3,
494.400,1.64877087E+3,
494.5500,1.68429431E+3,
494.700,1.64802588E+3,
494.8500,1.55804578E+3,
495.00,1.60322937E+3,
495.1500,1.63994556E+3,
495.300,1.51431213E+3,
495.4500,1.49503625E+3,
495.600,1.58451917E+3,
495.7500,1.53830676E+3,
495.900,1.55351099E+3,
496.0500,1.58929663E+3,
496.200,1.54094849E+3,
496.3500,1.50440808E+3,
496.500,1.58362183E+3,
496.6500,1.51345972E+3,
496.800,1.54726392E+3,
496.9500,1.47585681E+3,
497.100,1.51192212E+3,
497.2500,1.48611658E+3,
497.400,1.38844250E+3,
497.5500,1.43761499E+3,
497.700,1.40729529E+3,
497.8500,1.43364978E+3,
498.00,1.39124817E+3,
498.1500,1.38049182E+3,
498.300,1.43535132E+3,
498.4500,1.43008008E+3,
498.600,1.41602478E+3,
498.7500,1.37122351E+3,
498.900,1.44711206E+3,
499.0500,1.40115491E+3,
499.200,1.41232092E+3,
499.3500,1.41799609E+3,
499.500,1.34103247E+3,
499.6500,1.33781970E+3,
499.800,1.28492139E+3,
499.9500,1.40759814E+3,
500.100,1.32481494E+3,
500.2500,1.36806641E+3,
500.400,1.35599817E+3,
500.5500,1.28624353E+3,
500.700,1.27407104E+3,
500.8500,1.21521753E+3,
501.00,1.27855139E+3,
501.1500,1.28745996E+3,
501.300,1.19057507E+3,
501.4500,1.24065735E+3,
501.600,1.25065747E+3,
501.7500,1.18139001E+3,
501.900,1.11423376E+3,
502.0500,1.18677881E+3,
502.200,1.15533472E+3,
502.3500,1.10030225E+3,
502.500,1.18983557E+3,
502.6500,1.16278967E+3,
502.800,1.13120007E+3,
502.9500,1.08606189E+3,
503.100,1.20291785E+3,
503.2500,1.09586719E+3,
503.400,1.12389502E+3,
503.5500,1.04703894E+3,
503.700,1.05360925E+3,
503.8500,1.07714099E+3,
504.00,1.12107251E+3,
504.1500,1.15945984E+3,
504.300,1.11178113E+3,
504.4500,1.02317542E+3,
504.600,1.02636987E+3,
504.7500,1.03183887E+3,
504.900,1.04868787E+3,
505.0500,1.06784375E+3,
505.200,1.15996265E+3,
505.3500,1.12679041E+3,
505.500,1.14492200E+3,
505.6500,1.10824060E+3,
505.800,1.13438416E+3,
505.9500,1.18002734E+3,
506.100,1.20402026E+3,
506.2500,1.17073950E+3,
506.400,1.18100562E+3,
506.5500,1.21885706E+3,
506.700,1.26597290E+3,
506.8500,1.25562512E+3,
507.00,1.27981201E+3,
507.1500,1.34450769E+3,
507.300,1.34699780E+3,
507.4500,1.37952759E+3,
507.600,1.40633313E+3,
507.7500,1.46212732E+3,
507.900,1.54351843E+3,
508.0500,1.43370081E+3,
508.200,1.47581824E+3,
508.3500,1.44362537E+3,
508.500,1.41950537E+3,
508.6500,1.41163574E+3,
508.800,1.37809424E+3,
508.9500,1.38299329E+3,
509.100,1.30492981E+3,
509.2500,1.30387634E+3,
509.400,1.28525720E+3,
509.5500,1.26542493E+3,
509.700,1.17752478E+3,
509.8500,1.20567139E+3,
510.00,1.15396057E+3,
510.1500,1.15736768E+3,
510.300,1.15135889E+3,
510.4500,1.08759680E+3,
510.600,1.07914648E+3,
510.7500,1.14268457E+3,
510.900,1.20633301E+3,
511.0500,1.09744031E+3,
511.200,1.07831506E+3,
511.3500,1.06033557E+3,
511.500,1.11583948E+3,
511.6500,1.11684314E+3,
511.800,1.06082397E+3,
511.9500,1.08793066E+3,
512.100,9.92550476E+2,
512.2500,9.75631409E+2,
512.400,9.02634338E+2,
512.5500,9.89425232E+2,
512.700,9.66470154E+2,
512.8500,8.87265747E+2,
513.00,8.90495544E+2,
513.1500,8.53055908E+2,
513.300,8.32326843E+2,
513.4500,8.40366089E+2,
513.600,8.25584473E+2,
513.7500,8.42046875E+2,
513.900,8.39272522E+2,
514.0500,9.14848694E+2,
514.200,8.33749512E+2,
514.3500,8.17700928E+2,
514.500,8.11289185E+2,
514.6500,8.31487976E+2,
514.800,7.86299866E+2,
514.9500,7.50719299E+2,
515.100,7.76977539E+2,
515.2500,6.91482666E+2,
515.400,7.33543152E+2,
515.5500,7.22105408E+2,
515.700,8.41069031E+2,
515.8500,7.61381165E+2,
516.00,7.62142517E+2,
516.1500,8.13036011E+2,
516.300,7.07376953E+2,
516.4500,7.47286011E+2,
516.600,7.22278320E+2,
516.7500,7.16858826E+2,
516.900,7.40914673E+2,
517.0500,7.46575623E+2,
517.200,7.25179199E+2,
517.3500,6.92643127E+2,
517.500,7.26659302E+2,
517.6500,6.97758179E+2,
517.800,7.36787231E+2,
517.9500,6.65758240E+2,
518.100,7.04842102E+2,
518.2500,7.00610779E+2,
518.400,7.83258362E+2,
518.5500,7.75364685E+2,
518.700,6.60481689E+2,
518.8500,6.99754456E+2,
519.00,6.88003601E+2,
519.1500,7.04954529E+2,
519.300,6.90712402E+2,
519.4500,7.08946716E+2,
519.600,7.05937683E+2,
519.7500,7.17955872E+2,
519.900,7.29996155E+2,
520.0500,6.13996033E+2,
520.200,6.97622314E+2,
520.3500,6.85792664E+2,
520.500,6.90311279E+2,
520.6500,7.31406860E+2,
520.800,6.76645020E+2,
520.9500,6.97588379E+2,
521.100,7.09711548E+2,
521.2500,6.47136719E+2,
521.400,6.64295471E+2,
521.5500,6.52298279E+2,
521.700,6.82196899E+2,
521.8500,6.57470947E+2,
522.00,6.47968018E+2,
522.1500,6.62656006E+2,
522.300,6.72268555E+2,
522.4500,6.46143982E+2,
522.600,6.14849304E+2,
522.7500,6.96091797E+2,
522.900,7.04487122E+2,
523.0500,7.07781067E+2,
523.200,6.63614563E+2,
523.3500,6.18065125E+2,
523.500,7.01049377E+2,
523.6500,6.78616455E+2,
523.800,6.65155884E+2,
523.9500,7.61350891E+2,
524.100,7.28577209E+2,
524.2500,6.86683899E+2,
524.400,6.90007813E+2,
524.5500,7.04999084E+2,
524.700,7.12236145E+2,
524.8500,7.23380981E+2,
525.00,6.91644714E+2,
525.1500,6.80639709E+2,
525.300,7.32140625E+2,
525.4500,6.89851318E+2,
525.600,7.06215454E+2,
525.7500,7.17383911E+2,
525.900,7.49500488E+2,
526.0500,7.60739624E+2,
526.200,7.02552429E+2,
526.3500,7.09845215E+2,
526.500,7.28972229E+2,
526.6500,7.75747498E+2,
526.800,7.30482910E+2,
526.9500,7.54952393E+2,
527.100,7.88759521E+2,
527.2500,7.88336182E+2,
527.400,8.24924255E+2,
527.5500,7.86152161E+2,
527.700,7.97639160E+2,
527.8500,8.68839050E+2,
528.00,8.10056213E+2,
528.1500,8.44236145E+2,
528.300,8.79821899E+2,
528.4500,7.86226318E+2,
528.600,8.68514343E+2,
528.7500,8.61500305E+2,
528.900,8.97256470E+2,
529.0500,8.36695068E+2,
529.200,8.59073853E+2,
529.3500,8.10387756E+2,
529.500,8.34123169E+2,
529.6500,8.64631409E+2,
529.800,8.85779541E+2,
529.9500,8.40936584E+2,
530.100,8.66135925E+2,
530.2500,8.50865173E+2,
530.400,8.84231018E+2,
530.5500,8.39162170E+2,
530.700,8.00768799E+2,
530.8500,8.92502197E+2,
531.00,8.97527893E+2,
531.1500,9.46076538E+2,
531.300,8.28711304E+2,
531.4500,9.08615295E+2,
531.600,9.12319153E+2,
531.7500,9.44696899E+2,
531.900,9.01975647E+2,
532.0500,9.07057861E+2,
532.200,9.17659302E+2,
532.3500,9.51589478E+2,
532.500,9.00485657E+2,
532.6500,9.44084961E+2,
532.800,9.32747070E+2,
532.9500,8.99345215E+2,
533.100,8.76922668E+2,
533.2500,8.97252075E+2,
533.400,9.06568604E+2,
533.5500,9.38038452E+2,
533.700,9.37719177E+2,
533.8500,9.05500977E+2,
534.00,9.62054688E+2,
534.1500,9.88171082E+2,
534.300,9.94862366E+2,
534.4500,9.66740723E+2,
