Labels,32C_10_150K,
Type,Emission Scan,
Comment,,
Start,252.00,
Stop,750.00,
Step,0.150,
Fixed/Offset,248.400,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,Xe,
Temp,27.70,
Scan Polariser,None,
Scan Slit,0.2520,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.9970,
Detector,Red PMT,

252.00,4.75504531E+4,
252.1500,2.61487813E+4,
252.300,2.08895488E+4,
252.4500,2.09325527E+4,
252.600,2.46172500E+4,
252.7500,2.10127246E+4,
252.900,2.13089297E+4,
253.0500,2.08158516E+4,
253.200,2.10605938E+4,
253.3500,2.22833242E+4,
253.500,2.11198262E+4,
253.6500,2.04699238E+4,
253.800,2.04666582E+4,
253.9500,1.96906523E+4,
254.100,2.05045566E+4,
254.2500,1.89617676E+4,
254.400,2.02590938E+4,
254.5500,1.72535039E+4,
254.700,1.88899922E+4,
254.8500,2.11020273E+4,
255.00,1.99424590E+4,
255.1500,1.95290820E+4,
255.300,1.79997285E+4,
255.4500,1.70434941E+4,
255.600,1.83015195E+4,
255.7500,1.84438516E+4,
255.900,2.09422324E+4,
256.0500,1.91936094E+4,
256.200,2.01896523E+4,
256.3500,1.99699238E+4,
256.500,2.20226934E+4,
256.6500,2.05780176E+4,
256.800,2.36781738E+4,
256.9500,2.37453301E+4,
257.100,2.60258555E+4,
257.2500,2.59197031E+4,
257.400,2.89241602E+4,
257.5500,3.24015156E+4,
257.700,3.19406934E+4,
257.8500,3.32509023E+4,
258.00,3.36785586E+4,
258.1500,3.43611602E+4,
258.300,3.92366328E+4,
258.4500,4.08935039E+4,
258.600,4.04080352E+4,
258.7500,4.88097852E+4,
258.900,4.93884648E+4,
259.0500,4.98979453E+4,
259.200,5.34401289E+4,
259.3500,5.62726875E+4,
259.500,5.96571484E+4,
259.6500,6.04724102E+4,
259.800,6.64183984E+4,
259.9500,6.82078125E+4,
260.100,7.64662188E+4,
260.2500,7.31754453E+4,
260.400,7.68726484E+4,
260.5500,8.34631563E+4,
260.700,8.88080000E+4,
260.8500,9.63617813E+4,
261.00,9.76198281E+4,
261.1500,9.91251328E+4,
261.300,1.00405609E+5,
261.4500,1.09476531E+5,
261.600,1.11975133E+5,
261.7500,1.18715680E+5,
261.900,1.21359883E+5,
262.0500,1.25965820E+5,
262.200,1.31808906E+5,
262.3500,1.35498078E+5,
262.500,1.39668016E+5,
262.6500,1.35972953E+5,
262.800,1.50509281E+5,
262.9500,1.46851078E+5,
263.100,1.54934875E+5,
263.2500,1.58435016E+5,
263.400,1.64837828E+5,
263.5500,1.68561594E+5,
263.700,1.74613359E+5,
263.8500,1.81466172E+5,
264.00,1.82526063E+5,
264.1500,1.93230672E+5,
264.300,1.90466313E+5,
264.4500,1.94726422E+5,
264.600,1.99643688E+5,
264.7500,2.01102625E+5,
264.900,2.06671656E+5,
265.0500,2.11775688E+5,
265.200,2.14878625E+5,
265.3500,2.13324594E+5,
265.500,2.21724906E+5,
265.6500,2.27215609E+5,
265.800,2.28194953E+5,
265.9500,2.25101063E+5,
266.100,2.27967031E+5,
266.2500,2.32249750E+5,
266.400,2.37511109E+5,
266.5500,2.34686922E+5,
266.700,2.33806266E+5,
266.8500,2.50129984E+5,
267.00,2.46067859E+5,
267.1500,2.53376609E+5,
267.300,2.52256031E+5,
267.4500,2.59033016E+5,
267.600,2.59096984E+5,
267.7500,2.61335672E+5,
267.900,2.57440938E+5,
268.0500,2.55076750E+5,
268.200,2.60090719E+5,
268.3500,2.57428922E+5,
268.500,2.59268828E+5,
268.6500,2.68089750E+5,
268.800,2.64930531E+5,
268.9500,2.63704906E+5,
269.100,2.71080813E+5,
269.2500,2.67331031E+5,
269.400,2.63855625E+5,
269.5500,2.67989094E+5,
269.700,2.66374438E+5,
269.8500,2.63510375E+5,
270.00,2.65779531E+5,
270.1500,2.60208813E+5,
270.300,2.64776625E+5,
270.4500,2.67828063E+5,
270.600,2.60415453E+5,
270.7500,2.59393094E+5,
270.900,2.62591156E+5,
271.0500,2.60795313E+5,
271.200,2.60733656E+5,
271.3500,2.57759109E+5,
271.500,2.57813594E+5,
271.6500,2.61472844E+5,
271.800,2.59890063E+5,
271.9500,2.56243906E+5,
272.100,2.53089828E+5,
272.2500,2.54782453E+5,
272.400,2.59177969E+5,
272.5500,2.55136297E+5,
272.700,2.52884594E+5,
272.8500,2.46905266E+5,
273.00,2.50173766E+5,
273.1500,2.47917438E+5,
273.300,2.47307781E+5,
273.4500,2.52116594E+5,
273.600,2.53501766E+5,
273.7500,2.55779922E+5,
273.900,2.49764750E+5,
274.0500,2.45726641E+5,
274.200,2.53197125E+5,
274.3500,2.53684422E+5,
274.500,2.52971094E+5,
274.6500,2.45371109E+5,
274.800,2.50317656E+5,
274.9500,2.54532156E+5,
275.100,2.53264203E+5,
275.2500,2.56170453E+5,
275.400,2.60065141E+5,
275.5500,2.62259813E+5,
275.700,2.57003359E+5,
275.8500,2.50821359E+5,
276.00,2.58894672E+5,
276.1500,2.57769719E+5,
276.300,2.58996688E+5,
276.4500,2.59210781E+5,
276.600,2.61223328E+5,
276.7500,2.63808094E+5,
276.900,2.63392813E+5,
277.0500,2.65728000E+5,
277.200,2.67094406E+5,
277.3500,2.68819438E+5,
277.500,2.61675313E+5,
277.6500,2.67037938E+5,
277.800,2.72021406E+5,
277.9500,2.72243156E+5,
278.100,2.66547844E+5,
278.2500,2.73544438E+5,
278.400,2.63960594E+5,
278.5500,2.63805813E+5,
278.700,2.60380234E+5,
278.8500,2.64997594E+5,
279.00,2.70688031E+5,
279.1500,2.65462250E+5,
279.300,2.66357875E+5,
279.4500,2.65138188E+5,
279.600,2.69037219E+5,
279.7500,2.70934813E+5,
279.900,2.76146313E+5,
280.0500,2.71431188E+5,
280.200,2.70076750E+5,
280.3500,2.74027719E+5,
280.500,2.73437625E+5,
280.6500,2.65475281E+5,
280.800,2.68317625E+5,
280.9500,2.71496719E+5,
281.100,2.68809281E+5,
281.2500,2.73301969E+5,
281.400,2.64925875E+5,
281.5500,2.64180688E+5,
281.700,2.68540313E+5,
281.8500,2.63506531E+5,
282.00,2.61660984E+5,
282.1500,2.63234969E+5,
282.300,2.67095188E+5,
282.4500,2.66001406E+5,
282.600,2.62121469E+5,
282.7500,2.61817688E+5,
282.900,2.60207844E+5,
283.0500,2.64480375E+5,
283.200,2.58191609E+5,
283.3500,2.53263453E+5,
283.500,2.52606406E+5,
283.6500,2.55421469E+5,
283.800,2.53955547E+5,
283.9500,2.51325531E+5,
284.100,2.51069109E+5,
284.2500,2.48346750E+5,
284.400,2.45810328E+5,
284.5500,2.49279969E+5,
284.700,2.43803938E+5,
284.8500,2.45099281E+5,
285.00,2.40824500E+5,
285.1500,2.42059203E+5,
285.300,2.42168219E+5,
285.4500,2.48889188E+5,
285.600,2.40366828E+5,
285.7500,2.39674078E+5,
285.900,2.37827109E+5,
286.0500,2.32330875E+5,
286.200,2.26612016E+5,
286.3500,2.22775891E+5,
286.500,2.24749953E+5,
286.6500,2.19257469E+5,
286.800,2.16188875E+5,
286.9500,2.14425313E+5,
287.100,2.16627031E+5,
287.2500,2.14415156E+5,
287.400,2.10629750E+5,
287.5500,2.06572766E+5,
287.700,2.03977875E+5,
287.8500,2.05324422E+5,
288.00,2.03236719E+5,
288.1500,2.00279953E+5,
288.300,1.97411094E+5,
288.4500,1.96994547E+5,
288.600,1.97885719E+5,
288.7500,1.90963719E+5,
288.900,1.88653984E+5,
289.0500,1.88309688E+5,
289.200,1.88545234E+5,
289.3500,1.85294969E+5,
289.500,1.82413375E+5,
289.6500,1.77535688E+5,
289.800,1.71379641E+5,
289.9500,1.69935234E+5,
290.100,1.68166063E+5,
290.2500,1.66973938E+5,
290.400,1.65309500E+5,
290.5500,1.62977297E+5,
290.700,1.62343500E+5,
290.8500,1.61639031E+5,
291.00,1.57557344E+5,
291.1500,1.59426734E+5,
291.300,1.53759000E+5,
291.4500,1.54232891E+5,
291.600,1.49185688E+5,
291.7500,1.49680641E+5,
291.900,1.46508156E+5,
292.0500,1.42783063E+5,
292.200,1.43717781E+5,
292.3500,1.41924641E+5,
292.500,1.41052094E+5,
292.6500,1.37007984E+5,
292.800,1.36548359E+5,
292.9500,1.35782813E+5,
293.100,1.32353906E+5,
293.2500,1.34205359E+5,
293.400,1.27227078E+5,
293.5500,1.31255578E+5,
293.700,1.27234469E+5,
293.8500,1.26383539E+5,
294.00,1.23873789E+5,
294.1500,1.21607000E+5,
294.300,1.21942781E+5,
294.4500,1.19199453E+5,
294.600,1.20884352E+5,
294.7500,1.18325922E+5,
294.900,1.14702953E+5,
295.0500,1.16858438E+5,
295.200,1.15615375E+5,
295.3500,1.15217000E+5,
295.500,1.12869484E+5,
295.6500,1.11528055E+5,
295.800,1.09664352E+5,
295.9500,1.07173797E+5,
296.100,1.06053859E+5,
296.2500,1.02866641E+5,
296.400,1.02303711E+5,
296.5500,1.02115742E+5,
296.700,1.01491484E+5,
296.8500,1.01708328E+5,
297.00,1.00580766E+5,
297.1500,1.01374258E+5,
297.300,9.93423281E+4,
297.4500,9.66773516E+4,
297.600,9.74902734E+4,
297.7500,9.41119375E+4,
297.900,9.87353906E+4,
298.0500,9.64380391E+4,
298.200,9.68601875E+4,
298.3500,9.59661094E+4,
298.500,9.74870156E+4,
298.6500,9.63138047E+4,
298.800,9.64685703E+4,
298.9500,9.69164141E+4,
299.100,9.76223828E+4,
299.2500,9.31472734E+4,
299.400,9.53228047E+4,
299.5500,9.50956484E+4,
299.700,9.94152109E+4,
299.8500,9.60293125E+4,
300.00,9.54526406E+4,
300.1500,9.57793281E+4,
300.300,9.45272188E+4,
300.4500,9.44222109E+4,
300.600,9.55889531E+4,
300.7500,9.72146484E+4,
300.900,9.73301094E+4,
301.0500,9.66415078E+4,
301.200,9.73578984E+4,
301.3500,9.58433906E+4,
301.500,9.43497422E+4,
301.6500,9.82231641E+4,
301.800,9.80818594E+4,
301.9500,9.59515781E+4,
302.100,9.88404531E+4,
302.2500,9.84045469E+4,
302.400,9.80346875E+4,
302.5500,9.99776406E+4,
302.700,1.02203586E+5,
302.8500,1.01597195E+5,
303.00,1.01412578E+5,
303.1500,1.01124133E+5,
303.300,1.03177375E+5,
303.4500,1.03243359E+5,
303.600,1.01393688E+5,
303.7500,1.03836109E+5,
303.900,1.06947453E+5,
304.0500,1.06614859E+5,
304.200,1.05502633E+5,
304.3500,1.05457148E+5,
304.500,1.05391422E+5,
304.6500,1.07744391E+5,
304.800,1.07273406E+5,
304.9500,1.09136141E+5,
305.100,1.09562891E+5,
305.2500,1.09807383E+5,
305.400,1.08639898E+5,
305.5500,1.08765148E+5,
305.700,1.12160414E+5,
305.8500,1.11657180E+5,
306.00,1.11163875E+5,
306.1500,1.11931297E+5,
306.300,1.15981500E+5,
306.4500,1.14414945E+5,
306.600,1.12108773E+5,
306.7500,1.13408961E+5,
306.900,1.13953859E+5,
307.0500,1.14152219E+5,
307.200,1.16225648E+5,
307.3500,1.14887945E+5,
307.500,1.17197758E+5,
307.6500,1.14945336E+5,
307.800,1.14133977E+5,
307.9500,1.15364820E+5,
308.100,1.17206313E+5,
308.2500,1.19524125E+5,
308.400,1.19351680E+5,
308.5500,1.18947664E+5,
308.700,1.16959516E+5,
308.8500,1.17357570E+5,
309.00,1.13600391E+5,
309.1500,1.18481391E+5,
309.300,1.18376508E+5,
309.4500,1.18259914E+5,
309.600,1.16259055E+5,
309.7500,1.17096813E+5,
309.900,1.17497648E+5,
310.0500,1.15528227E+5,
310.200,1.15729742E+5,
310.3500,1.14430273E+5,
310.500,1.16377695E+5,
310.6500,1.15945148E+5,
310.800,1.15373359E+5,
310.9500,1.16201594E+5,
311.100,1.15066125E+5,
311.2500,1.16189648E+5,
311.400,1.17167414E+5,
311.5500,1.15793469E+5,
311.700,1.14133836E+5,
311.8500,1.14981289E+5,
312.00,1.15860211E+5,
312.1500,1.16077164E+5,
312.300,1.13077164E+5,
312.4500,1.12506438E+5,
312.600,1.15797406E+5,
312.7500,1.15921164E+5,
312.900,1.13071563E+5,
313.0500,1.12423961E+5,
313.200,1.12890273E+5,
313.3500,1.12035766E+5,
313.500,1.11895641E+5,
313.6500,1.11581375E+5,
313.800,1.11480219E+5,
313.9500,1.11968133E+5,
314.100,1.11483281E+5,
314.2500,1.09115742E+5,
314.400,1.10461250E+5,
314.5500,1.09279414E+5,
314.700,1.09515883E+5,
314.8500,1.11187461E+5,
315.00,1.09462367E+5,
315.1500,1.11674867E+5,
315.300,1.08904938E+5,
315.4500,1.07842977E+5,
315.600,1.07845359E+5,
315.7500,1.05890445E+5,
315.900,1.06605273E+5,
316.0500,1.07083594E+5,
316.200,1.03726266E+5,
316.3500,1.05066227E+5,
316.500,1.04437922E+5,
316.6500,1.05634164E+5,
316.800,1.02882883E+5,
316.9500,1.03659844E+5,
317.100,1.03006781E+5,
317.2500,1.02377570E+5,
317.400,1.01438313E+5,
317.5500,1.02386273E+5,
317.700,1.02608273E+5,
317.8500,1.01215945E+5,
318.00,1.01665094E+5,
318.1500,1.01219867E+5,
318.300,1.01326250E+5,
318.4500,1.01305922E+5,
318.600,1.01177445E+5,
318.7500,1.00315383E+5,
318.900,1.01228297E+5,
319.0500,1.00263109E+5,
319.200,1.00769688E+5,
319.3500,9.95683359E+4,
319.500,9.94131016E+4,
319.6500,9.80903516E+4,
319.800,9.69635859E+4,
319.9500,9.61316250E+4,
320.100,9.75267188E+4,
320.2500,9.52912969E+4,
320.400,9.64092266E+4,
320.5500,9.64218984E+4,
320.700,9.54044141E+4,
320.8500,9.53853828E+4,
321.00,9.43421328E+4,
321.1500,9.37128047E+4,
321.300,9.48240938E+4,
321.4500,9.40525547E+4,
321.600,9.29265547E+4,
321.7500,9.32988047E+4,
321.900,9.36158125E+4,
322.0500,9.15580547E+4,
322.200,9.07835156E+4,
322.3500,9.04942031E+4,
322.500,9.17600781E+4,
322.6500,8.96702344E+4,
322.800,8.93520547E+4,
322.9500,8.99771406E+4,
323.100,8.77788672E+4,
323.2500,8.81452031E+4,
323.400,8.72104219E+4,
323.5500,8.75318438E+4,
323.700,8.78628438E+4,
323.8500,8.70865156E+4,
324.00,8.47377656E+4,
324.1500,8.68815547E+4,
324.300,8.44463906E+4,
324.4500,8.42076406E+4,
324.600,8.46666172E+4,
324.7500,8.43617500E+4,
324.900,8.28320234E+4,
325.0500,8.34879609E+4,
325.200,8.14711328E+4,
325.3500,8.21617109E+4,
325.500,8.26461953E+4,
325.6500,8.01862891E+4,
325.800,7.85848516E+4,
325.9500,7.84276953E+4,
326.100,7.84285703E+4,
326.2500,7.96330313E+4,
326.400,7.66113828E+4,
326.5500,7.84415078E+4,
326.700,7.64550000E+4,
326.8500,7.68427109E+4,
327.00,7.56443906E+4,
327.1500,7.54629219E+4,
327.300,7.49097109E+4,
327.4500,7.23869219E+4,
327.600,7.28269141E+4,
327.7500,7.17525000E+4,
327.900,7.17373047E+4,
328.0500,7.16509531E+4,
328.200,6.96224375E+4,
328.3500,7.04733750E+4,
328.500,6.91059063E+4,
328.6500,6.93947266E+4,
328.800,6.94231641E+4,
328.9500,6.84611406E+4,
329.100,6.80825859E+4,
329.2500,6.86036953E+4,
329.400,6.59267969E+4,
329.5500,6.62396641E+4,
329.700,6.52240430E+4,
329.8500,6.46041406E+4,
330.00,6.39430273E+4,
330.1500,6.35139766E+4,
330.300,6.24486133E+4,
330.4500,6.15795469E+4,
330.600,6.16481211E+4,
330.7500,6.31021094E+4,
330.900,6.04853867E+4,
331.0500,5.93460820E+4,
331.200,5.99063008E+4,
331.3500,5.89635352E+4,
331.500,5.78572891E+4,
331.6500,5.69024492E+4,
331.800,5.58093555E+4,
331.9500,5.68196836E+4,
332.100,5.51105938E+4,
332.2500,5.51070859E+4,
332.400,5.39899297E+4,
332.5500,5.35786758E+4,
332.700,5.23832031E+4,
332.8500,5.25642344E+4,
333.00,5.12345625E+4,
333.1500,5.10442617E+4,
333.300,5.09340625E+4,
333.4500,4.95986523E+4,
333.600,4.87512813E+4,
333.7500,4.87379102E+4,
333.900,4.79150234E+4,
334.0500,4.70776758E+4,
334.200,4.78565469E+4,
334.3500,4.61620547E+4,
334.500,4.58276445E+4,
334.6500,4.60712539E+4,
334.800,4.40364609E+4,
334.9500,4.52755977E+4,
335.100,4.44848008E+4,
335.2500,4.33720977E+4,
335.400,4.20900234E+4,
335.5500,4.23267656E+4,
335.700,4.24950234E+4,
335.8500,4.14828125E+4,
336.00,4.13620820E+4,
336.1500,4.04500742E+4,
336.300,3.95810000E+4,
336.4500,3.92101758E+4,
